epoch,step,train/loss,train/reward,val/reward
0,49,-24.791179656982422,-38.04166793823242,
0,83,,,-41.53900146484375
1,99,123.9643783569336,-40.125,
1,149,226.42196655273438,-37.0,
1,167,,,-41.439998626708984
2,199,71.29045104980469,-38.5,
2,249,159.92703247070312,-38.875,
2,251,,,-41.64699935913086
3,299,129.33639526367188,-37.458335876464844,
3,335,,,-41.645999908447266
4,349,115.60496520996094,-37.958335876464844,
4,399,114.62459564208984,-40.375,
4,419,,,-41.645999908447266
5,449,48.743804931640625,-39.41666793823242,
5,499,38.463871002197266,-40.583335876464844,
5,503,,,-41.645999908447266
6,549,182.2745361328125,-39.583335876464844,
6,587,,,-41.63600158691406
7,599,211.48648071289062,-37.29166793823242,
7,649,131.43936157226562,-38.458335876464844,
7,671,,,-41.63600158691406
8,699,134.21646118164062,-38.458335876464844,
8,749,173.1843719482422,-39.41666793823242,
8,755,,,-41.63600158691406
9,799,178.80746459960938,-38.41666793823242,
9,839,,,-41.63600158691406
10,849,144.77349853515625,-39.04166793823242,
10,899,50.24598693847656,-39.375,
10,923,,,-41.63600158691406
11,949,84.53302764892578,-39.79166793823242,
11,999,144.3504638671875,-39.41666793823242,
11,1007,,,-41.63600158691406
12,1049,167.7162322998047,-38.16666793823242,
12,1091,,,-41.63600158691406
13,1099,111.35380554199219,-38.04166793823242,
13,1149,7.264989376068115,-38.79166793823242,
13,1175,,,-41.63600158691406
14,1199,148.70767211914062,-38.125,
14,1249,106.51594543457031,-38.0,
14,1259,,,-41.63600158691406
15,1299,241.1377410888672,-37.333335876464844,
15,1343,,,-41.63600158691406
16,1349,90.85891723632812,-40.458335876464844,
16,1399,183.4014892578125,-37.375,
16,1427,,,-41.63600158691406
17,1449,96.05757141113281,-39.625,
17,1499,52.229576110839844,-37.41666793823242,
17,1511,,,-41.63600158691406
18,1549,114.92926025390625,-41.16666793823242,
18,1595,,,-41.63600158691406
19,1599,148.60060119628906,-39.333335876464844,
19,1649,204.1253662109375,-38.125,
19,1679,,,-41.63600158691406
