epoch,step,train/loss,train/reward,val/reward
0,49,-87.4512939453125,-180.5416717529297,
0,83,,,-180.39700317382812
1,99,629.0812377929688,-179.45834350585938,
1,149,814.3013916015625,-174.75,
1,167,,,-173.20799255371094
2,199,12.972097396850586,-176.83334350585938,
2,249,105.84574890136719,-172.58334350585938,
2,251,,,-171.48800659179688
3,299,173.60714721679688,-172.08334350585938,
3,335,,,-171.33299255371094
4,349,88.03072357177734,-168.08334350585938,
4,399,-10.8623685836792,-168.6666717529297,
4,419,,,-168.86399841308594
5,449,-174.55661010742188,-169.70834350585938,
5,499,-68.21197509765625,-169.2916717529297,
5,503,,,-168.1510009765625
6,549,-85.394775390625,-167.58334350585938,
6,587,,,-169.48699951171875
7,599,41.26252365112305,-167.625,
7,649,48.01215744018555,-167.625,
7,671,,,-170.04400634765625
8,699,-197.0858154296875,-169.2916717529297,
8,749,-6.916412353515625,-165.75,
8,755,,,-166.65499877929688
9,799,11.72889232635498,-166.70834350585938,
9,839,,,-166.71200561523438
10,849,-263.93682861328125,-168.9166717529297,
10,899,-44.18566131591797,-165.9166717529297,
10,923,,,-166.76100158691406
11,949,-26.045307159423828,-166.58334350585938,
11,999,-53.73723602294922,-167.0,
11,1007,,,-167.4080047607422
12,1049,-14.91560173034668,-167.125,
12,1091,,,-167.03900146484375
13,1099,-297.18780517578125,-169.95834350585938,
13,1149,3.0585532188415527,-166.0,
13,1175,,,-166.49099731445312
14,1199,-249.98782348632812,-170.0,
14,1249,-97.55648040771484,-169.375,
14,1259,,,-166.41600036621094
15,1299,-273.8302001953125,-170.6666717529297,
15,1343,,,-166.36599731445312
16,1349,-32.12896728515625,-161.20834350585938,
16,1399,-148.20797729492188,-167.5,
16,1427,,,-166.4669952392578
17,1449,-223.9119110107422,-171.08334350585938,
17,1499,-407.4161071777344,-166.875,
17,1511,,,-167.9290008544922
18,1549,-134.68272399902344,-169.70834350585938,
18,1595,,,-166.4219970703125
19,1599,42.514305114746094,-163.875,
19,1649,-144.72198486328125,-166.95834350585938,
19,1679,,,-166.13900756835938
20,1699,-9.207632064819336,-165.375,
20,1749,-407.0957946777344,-170.4166717529297,
20,1763,,,-166.0760040283203
21,1799,-377.80535888671875,-167.5,
21,1847,,,-167.61399841308594
22,1849,-238.97003173828125,-168.625,
22,1899,-13.499334335327148,-165.0,
22,1931,,,-165.98300170898438
23,1949,-99.48362731933594,-167.95834350585938,
23,1999,-104.11289978027344,-169.0416717529297,
23,2015,,,-166.29600524902344
24,2049,-62.92454528808594,-166.95834350585938,
24,2099,-76.38102722167969,-167.625,
24,2099,,,-166.18299865722656
25,2149,-137.838134765625,-167.9166717529297,
25,2183,,,-166.52999877929688
26,2199,-83.32332611083984,-169.6666717529297,
26,2249,-46.83820724487305,-166.625,
26,2267,,,-166.875
27,2299,73.65804290771484,-165.58334350585938,
27,2349,-302.44866943359375,-171.0,
27,2351,,,-166.8820037841797
28,2399,-76.8953628540039,-165.9166717529297,
28,2435,,,-166.04800415039062
29,2449,-172.2163543701172,-170.375,
29,2499,-163.91738891601562,-166.125,
29,2519,,,-165.84500122070312
30,2549,20.085186004638672,-165.4166717529297,
30,2599,-55.876522064208984,-167.1666717529297,
30,2603,,,-166.07000732421875
31,2649,-32.92991638183594,-165.75,
31,2687,,,-165.97300720214844
32,2699,-54.891502380371094,-165.58334350585938,
32,2749,-175.43472290039062,-165.375,
32,2771,,,-165.91400146484375
33,2799,-32.73444366455078,-165.0416717529297,
33,2849,-82.98355865478516,-164.125,
33,2855,,,-166.26400756835938
34,2899,16.44552993774414,-165.375,
34,2939,,,-166.00399780273438
35,2949,-102.71550750732422,-169.33334350585938,
35,2999,-160.61886596679688,-167.125,
35,3023,,,-165.8300018310547
36,3049,-20.156599044799805,-166.875,
36,3099,-112.84783172607422,-166.83334350585938,
36,3107,,,-165.80999755859375
37,3149,-51.46361541748047,-164.83334350585938,
37,3191,,,-166.031005859375
38,3199,59.83222198486328,-166.125,
38,3249,-111.84056091308594,-166.95834350585938,
38,3275,,,-166.1699981689453
39,3299,-13.045516967773438,-167.33334350585938,
39,3349,-104.28109741210938,-167.70834350585938,
39,3359,,,-166.69700622558594
40,3399,-433.4281921386719,-171.45834350585938,
40,3443,,,-166.4239959716797
41,3449,-147.76458740234375,-167.0,
41,3499,-140.62014770507812,-166.875,
41,3527,,,-167.1999969482422
42,3549,-239.56893920898438,-170.75,
42,3599,-483.85272216796875,-173.0416717529297,
42,3611,,,-170.1179962158203
43,3649,-203.05899047851562,-166.6666717529297,
43,3695,,,-166.29400634765625
44,3699,-40.49168395996094,-165.75,
44,3749,-58.78593063354492,-164.5,
44,3779,,,-167.43699645996094
45,3799,-666.00390625,-173.45834350585938,
45,3849,-151.6220703125,-170.20834350585938,
45,3863,,,-166.26300048828125
46,3899,32.90422058105469,-163.125,
46,3947,,,-166.47300720214844
47,3949,-144.41055297851562,-165.83334350585938,
47,3999,-185.36654663085938,-167.33334350585938,
47,4031,,,-166.49899291992188
48,4049,-74.06301879882812,-165.5,
48,4099,-132.06765747070312,-165.08334350585938,
48,4115,,,-166.0070037841797
49,4149,0.7350744009017944,-163.375,
49,4199,-103.69062805175781,-163.625,
49,4199,,,-166.60000610351562
50,4249,-139.0679931640625,-167.33334350585938,
50,4283,,,-167.87600708007812
51,4299,-116.01487731933594,-169.7916717529297,
51,4349,-148.1963348388672,-164.45834350585938,
51,4367,,,-165.9409942626953
52,4399,-58.53968811035156,-164.4166717529297,
52,4449,-70.74456787109375,-164.625,
52,4451,,,-165.91700744628906
53,4499,-60.69175720214844,-166.5,
53,4535,,,-166.3719940185547
