epoch,step,train/loss,train/reward,val/reward
0,49,-19.392459869384766,-37.875,
0,83,,,-34.67399978637695
1,99,1.17816162109375,-36.29166793823242,
1,149,43.79304122924805,-32.5,
1,167,,,-34.06800079345703
2,199,-23.112829208374023,-34.66666793823242,
2,249,-16.448495864868164,-32.958335876464844,
2,251,,,-33.80699920654297
3,299,-32.5555534362793,-35.41666793823242,
3,335,,,-34.14400100708008
4,349,-37.48278045654297,-34.583335876464844,
4,399,-17.916006088256836,-34.958335876464844,
4,419,,,-34.05500030517578
5,449,-49.46250534057617,-35.708335876464844,
5,499,-6.234109401702881,-33.208335876464844,
5,503,,,-33.698001861572266
6,549,-8.522722244262695,-34.16666793823242,
6,587,,,-34.132999420166016
7,599,-3.600999355316162,-34.708335876464844,
7,649,4.506481170654297,-33.25,
7,671,,,-33.90299987792969
8,699,3.978635311126709,-34.708335876464844,
8,749,-29.669164657592773,-33.75,
8,755,,,-33.5890007019043
9,799,-4.191190242767334,-34.04166793823242,
9,839,,,-33.439998626708984
