epoch,step,train/loss,train/reward,val/reward
0,49,11.201131820678711,-204.95834350585938,
0,83,,,-206.94200134277344
1,99,607.24267578125,-202.125,
1,149,1035.7227783203125,-201.33334350585938,
1,167,,,-210.49200439453125
2,199,784.5250854492188,-199.4166717529297,
2,249,1297.468505859375,-204.1666717529297,
2,251,,,-205.02699279785156
3,299,655.8387451171875,-199.5416717529297,
3,335,,,-201.0590057373047
4,349,53.601226806640625,-195.33334350585938,
4,399,666.613525390625,-195.08334350585938,
4,419,,,-200.62600708007812
5,449,-40.752960205078125,-202.75,
5,499,-300.83489990234375,-200.0416717529297,
5,503,,,-198.42799377441406
6,549,-113.61614990234375,-198.7916717529297,
6,587,,,-215.75
7,599,85.968017578125,-198.375,
7,649,17.327526092529297,-200.25,
7,671,,,-198.24200439453125
8,699,157.41445922851562,-197.25,
8,749,-20.9919490814209,-195.75,
8,755,,,-193.0959930419922
9,799,-273.8477783203125,-197.1666717529297,
9,839,,,-198.0679931640625
10,849,27.203298568725586,-194.33334350585938,
10,899,120.53457641601562,-191.75,
10,923,,,-195.98699951171875
11,949,-27.96346092224121,-194.2916717529297,
11,999,-243.1503143310547,-197.5,
11,1007,,,-193.7530059814453
12,1049,-29.788015365600586,-192.20834350585938,
12,1091,,,-191.68099975585938
13,1099,-56.6383056640625,-193.33334350585938,
13,1149,-431.40594482421875,-196.75,
13,1175,,,-192.30599975585938
14,1199,-47.161346435546875,-189.7916717529297,
14,1249,-386.17315673828125,-193.2916717529297,
14,1259,,,-191.93600463867188
15,1299,-197.25820922851562,-196.58334350585938,
15,1343,,,-191.1320037841797
16,1349,-392.4693298339844,-191.4166717529297,
16,1399,-737.197021484375,-199.0,
16,1427,,,-198.68600463867188
17,1449,37.690452575683594,-188.45834350585938,
17,1499,46.341575622558594,-187.375,
17,1511,,,-191.36199951171875
18,1549,280.7615661621094,-190.5,
18,1595,,,-188.625
19,1599,-472.6625671386719,-189.7916717529297,
19,1649,-654.098876953125,-193.45834350585938,
19,1679,,,-191.19700622558594
20,1699,-145.33982849121094,-191.4166717529297,
20,1749,-352.990966796875,-193.58334350585938,
20,1763,,,-190.21400451660156
21,1799,71.63134765625,-190.0,
21,1847,,,-189.46200561523438
22,1849,-477.06524658203125,-190.75,
22,1899,-109.44432067871094,-191.125,
22,1931,,,-188.39199829101562
23,1949,-430.4588317871094,-190.4166717529297,
23,1999,-279.2921142578125,-192.0416717529297,
23,2015,,,-193.0800018310547
24,2049,-621.937255859375,-191.70834350585938,
24,2099,-344.71270751953125,-191.375,
24,2099,,,-191.07200622558594
25,2149,-658.2843017578125,-197.58334350585938,
25,2183,,,-190.62600708007812
26,2199,-150.0868377685547,-190.125,
26,2249,-778.8505249023438,-194.95834350585938,
26,2267,,,-192.6739959716797
27,2299,-832.794677734375,-195.33334350585938,
27,2349,-376.543212890625,-191.58334350585938,
27,2351,,,-190.00399780273438
28,2399,-235.6923065185547,-192.1666717529297,
28,2435,,,-188.10400390625
29,2449,-80.5517349243164,-188.0,
29,2499,-404.71820068359375,-193.95834350585938,
29,2519,,,-190.47900390625
30,2549,-400.9627685546875,-194.7916717529297,
30,2599,-352.87640380859375,-192.5416717529297,
30,2603,,,-193.4459991455078
31,2649,-447.28924560546875,-193.2916717529297,
31,2687,,,-190.80099487304688
32,2699,-1090.337158203125,-195.875,
32,2749,-1211.86474609375,-195.58334350585938,
32,2771,,,-189.1060028076172
33,2799,-588.0341796875,-188.5416717529297,
33,2849,-355.40716552734375,-193.33334350585938,
33,2855,,,-192.06700134277344
34,2899,-644.8564453125,-193.58334350585938,
34,2939,,,-189.01199340820312
35,2949,-558.5548706054688,-194.125,
35,2999,-620.9644775390625,-191.08334350585938,
35,3023,,,-187.73599243164062
