
        === total_errors ===
        Improved mean: 236.188571
        Original mean: 236.138000

        Expected improvement:
        Absolute: -0.050571
        Percent:  -0.02%

        Statistical test:
        t-statistic: -0.0598
        p-value:     9.523677e-01

        Effect size:
        Cohen's d:   -0.0042

        === min_makespan ===
        Improved mean min_makespan: 463.031429
        Original mean min_makespan: 463.266000
    
