epoch,step,train/loss,train/reward,val/reward
0,49,30.352706909179688,-32.79166793823242,
0,83,,,-34.05099868774414
1,99,-60.888145446777344,-34.5,
1,149,-106.4762191772461,-34.958335876464844,
1,167,,,-39.3489990234375
2,199,-313.873779296875,-36.16666793823242,
2,249,-180.82666015625,-35.75,
2,251,,,-39.27799987792969
3,299,-230.7494354248047,-36.04166793823242,
3,335,,,-39.27799987792969
4,349,-320.8568115234375,-37.29166793823242,
4,399,-212.1619110107422,-35.91666793823242,
4,419,,,-39.27799987792969
5,449,-96.53305053710938,-35.208335876464844,
5,499,-265.9320068359375,-36.083335876464844,
5,503,,,-39.27799987792969
6,549,-235.15682983398438,-35.083335876464844,
6,587,,,-39.27799987792969
7,599,-179.54966735839844,-35.91666793823242,
7,649,-291.635009765625,-37.04166793823242,
7,671,,,-39.27799987792969
8,699,-310.2987976074219,-36.25,
8,749,-189.69888305664062,-35.66666793823242,
8,755,,,-39.27799987792969
9,799,-259.44573974609375,-35.458335876464844,
9,839,,,-39.27799987792969
10,849,-385.4307556152344,-38.833335876464844,
10,899,-185.86773681640625,-35.04166793823242,
10,923,,,-39.27799987792969
11,949,-302.3852233886719,-35.625,
11,999,-232.0947723388672,-36.333335876464844,
11,1007,,,-39.27799987792969
12,1049,-253.0724334716797,-34.66666793823242,
12,1091,,,-39.27799987792969
13,1099,-245.50314331054688,-35.5,
13,1149,-335.022216796875,-37.0,
13,1175,,,-39.27799987792969
14,1199,-278.06781005859375,-36.875,
14,1249,-255.43551635742188,-36.54166793823242,
14,1259,,,-39.27799987792969
15,1299,-315.6206970214844,-36.5,
15,1343,,,-39.27799987792969
16,1349,-222.57711791992188,-36.75,
16,1399,-147.84814453125,-35.75,
16,1427,,,-39.27799987792969
17,1449,-226.61355590820312,-36.66666793823242,
17,1499,-340.9532470703125,-35.958335876464844,
17,1511,,,-39.27799987792969
18,1549,-228.1086883544922,-35.91666793823242,
18,1595,,,-39.27799987792969
19,1599,-314.8902587890625,-36.833335876464844,
19,1649,-290.22998046875,-37.083335876464844,
19,1679,,,-39.27799987792969
20,1699,-309.58001708984375,-37.375,
20,1749,-185.51498413085938,-35.79166793823242,
20,1763,,,-39.27799987792969
21,1799,-326.6864013671875,-37.708335876464844,
21,1847,,,-39.27799987792969
22,1849,-258.12005615234375,-36.04166793823242,
22,1899,-170.4879150390625,-35.375,
22,1931,,,-39.27799987792969
23,1949,-310.63104248046875,-36.833335876464844,
23,1999,-279.1656188964844,-35.91666793823242,
23,2015,,,-39.27799987792969
24,2049,-182.26388549804688,-36.25,
24,2099,-254.49127197265625,-35.75,
24,2099,,,-39.27799987792969
25,2149,-277.8155517578125,-35.458335876464844,
25,2183,,,-39.27799987792969
26,2199,-281.0391540527344,-36.583335876464844,
26,2249,-161.8924560546875,-36.54166793823242,
26,2267,,,-39.27799987792969
27,2299,-373.64056396484375,-37.833335876464844,
27,2349,-272.79815673828125,-37.125,
27,2351,,,-39.27799987792969
28,2399,-257.53656005859375,-37.458335876464844,
28,2435,,,-39.27799987792969
29,2449,-284.2359619140625,-36.333335876464844,
29,2499,-380.5621032714844,-36.41666793823242,
29,2519,,,-39.27799987792969
30,2549,-241.47576904296875,-35.375,
30,2599,-144.43258666992188,-34.583335876464844,
30,2603,,,-39.27799987792969
31,2649,-179.54867553710938,-35.25,
31,2687,,,-39.27799987792969
32,2699,-225.2886962890625,-36.16666793823242,
32,2749,-293.32611083984375,-35.91666793823242,
32,2771,,,-39.27799987792969
33,2799,-221.72183227539062,-35.91666793823242,
33,2849,-300.80926513671875,-36.16666793823242,
33,2855,,,-39.27799987792969
34,2899,-219.4187469482422,-35.5,
34,2939,,,-39.27799987792969
35,2949,-409.2227478027344,-37.625,
35,2999,-341.8329772949219,-37.16666793823242,
35,3023,,,-39.27799987792969
36,3049,-218.0643768310547,-35.25,
36,3099,-167.32106018066406,-35.833335876464844,
36,3107,,,-39.27799987792969
37,3149,-394.671630859375,-38.29166793823242,
37,3191,,,-39.27799987792969
38,3199,-239.39244079589844,-35.125,
38,3249,-260.9998474121094,-36.208335876464844,
38,3275,,,-39.27799987792969
39,3299,-197.98574829101562,-34.25,
39,3349,-152.10079956054688,-37.04166793823242,
39,3359,,,-39.27799987792969
40,3399,-288.2254943847656,-36.25,
