ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10
39.84375,38.0625,21.5625,30.78125,26.71875,8.03125,14.4375,33.75,15.1875,11.625
38.3125,40.09375,21.15625,30.96875,26.625,8.34375,14.1875,32.90625,14.71875,12.6875
38.53125,40.75,21.3125,30.03125,27.65625,7.625,13.90625,34.21875,14.4375,11.53125
39.625,38.84375,21.46875,30.34375,27.25,8.375,14.125,32.9375,15.15625,11.875
38.25,39.4375,21.375,30.5625,27.96875,7.625,13.875,33.28125,15.78125,11.84375
38.8125,39.59375,21.625,31.09375,27.34375,7.46875,13.90625,32.28125,16.25,11.625
39.21875,39.9375,21.03125,30.5,26.9375,7.90625,13.15625,32.84375,16.09375,12.375
38.46875,38.78125,22.21875,30.96875,26.71875,7.1875,14.78125,32.96875,16.03125,11.875
38.53125,39.25,21.0625,29.75,27.65625,7.9375,15.09375,33.15625,15.5,12.0625
38.375,40.375,20.875,31.0625,26.78125,7.84375,13.84375,33.25,15.65625,11.9375
38.53125,40.4375,20.59375,30.90625,26.75,7.1875,14.4375,33.375,15.5625,12.21875
38.6875,38.625,21.0625,30.6875,26.75,7.625,14.75,34.1875,15.75,11.875
37.28125,39.3125,21.8125,30.75,27.4375,7.875,14.9375,33.15625,15.75,11.6875
38.75,39.84375,20.4375,30.5625,26.65625,8.25,15.15625,32.71875,15.21875,12.40625
38.9375,39.25,21.09375,30.6875,27.59375,7.5,14.78125,32.5625,15.75,11.84375
39.8125,39.4375,21.53125,29.03125,27.40625,7.75,14.28125,33.46875,15.5,11.78125
38.75,39.96875,20.375,30.46875,27.375,8.4375,13.90625,33.96875,15.5,11.25
38.09375,39.78125,22.1875,30.21875,27.65625,7.84375,13.78125,34.09375,15.1875,11.15625
39.875,37.21875,21.125,30.59375,26.875,8.34375,14.5,34.3125,15.0,12.15625
38.21875,39.25,21.0,31.25,27.15625,8.1875,13.78125,33.0,15.8125,12.34375
39.0625,38.28125,21.21875,30.6875,26.625,7.75,15.0,33.625,15.5,12.25
39.0625,40.3125,21.25,30.90625,25.625,8.5625,14.46875,32.71875,15.4375,11.65625
38.5625,40.0,21.21875,29.875,27.90625,8.5,14.21875,33.15625,14.875,11.6875
39.96875,38.5,20.59375,29.78125,26.8125,8.09375,14.25,33.6875,16.03125,12.28125
39.46875,37.5625,21.09375,30.09375,26.34375,8.0625,14.25,33.625,16.1875,13.3125
38.6875,39.75,21.5,30.96875,26.46875,7.0625,14.34375,34.125,15.75,11.34375
38.96875,39.75,21.46875,29.71875,26.46875,7.5625,14.09375,34.0625,15.5,12.40625
38.6875,37.96875,21.28125,29.625,26.875,8.40625,14.84375,33.96875,16.03125,12.3125
38.6875,38.84375,22.03125,29.375,26.375,8.0625,15.0,33.25,15.78125,12.59375
38.71875,38.875,20.75,29.46875,27.0625,8.40625,14.375,34.40625,15.84375,12.09375
37.5625,39.21875,21.84375,30.03125,27.53125,8.1875,14.9375,33.75,14.875,12.0625
40.53125,38.65625,21.625,30.65625,26.375,8.09375,14.28125,32.78125,14.90625,12.09375
39.3125,39.40625,21.90625,30.4375,26.875,7.75,14.4375,33.125,15.0,11.75
39.34375,37.96875,21.84375,31.125,27.125,8.0625,14.0625,32.125,15.625,12.71875
40.1875,38.8125,20.84375,30.40625,26.71875,7.90625,13.5,33.28125,16.09375,12.25
39.4375,40.09375,21.5,29.71875,27.78125,7.84375,13.25,33.21875,15.3125,11.84375
39.21875,39.9375,21.5625,29.65625,26.21875,7.96875,14.375,34.46875,14.53125,12.0625
38.9375,37.90625,21.03125,30.15625,27.34375,7.90625,15.375,32.96875,15.59375,12.78125
38.25,39.5,21.15625,30.90625,27.125,7.375,15.25,33.0,16.15625,11.28125
40.0,38.40625,20.65625,30.65625,26.15625,8.0,14.28125,33.6875,15.71875,12.4375
38.21875,38.6875,21.375,30.4375,27.0625,7.53125,15.40625,33.78125,15.5,12.0
38.96875,38.625,21.09375,30.46875,26.75,8.5625,14.40625,33.875,15.3125,11.9375
38.96875,38.375,21.40625,30.71875,27.46875,8.3125,13.65625,33.90625,15.25,11.9375
38.40625,39.53125,21.84375,30.125,27.84375,7.25,14.125,33.1875,16.25,11.4375
39.125,39.28125,21.90625,30.0625,26.3125,8.125,14.09375,33.03125,15.71875,12.34375
40.28125,38.75,21.375,30.4375,26.3125,8.3125,13.40625,33.90625,15.25,11.96875
40.5625,38.09375,21.65625,29.75,26.875,8.15625,15.15625,33.25,14.6875,11.8125
40.03125,38.65625,20.65625,30.6875,25.75,8.0,15.03125,33.40625,15.3125,12.46875
39.0,38.71875,20.75,31.03125,27.03125,7.65625,15.09375,33.125,15.78125,11.8125
39.625,38.03125,22.09375,30.03125,26.125,8.59375,13.625,32.84375,16.0,13.03125
38.1875,39.9375,20.78125,30.3125,26.875,7.0625,14.65625,34.5625,15.71875,11.90625
39.1875,39.625,21.03125,29.5625,27.15625,7.90625,14.875,33.28125,15.9375,11.4375
38.53125,39.1875,20.8125,30.28125,28.0,8.0,15.0,33.375,15.375,11.4375
39.90625,39.125,22.0,29.84375,26.9375,7.5,14.125,32.5,15.8125,12.25
39.78125,38.5,21.0,30.125,27.21875,7.28125,14.375,33.875,15.5,12.34375
39.71875,38.03125,20.84375,30.46875,27.40625,8.5625,14.96875,32.84375,15.71875,11.4375
39.59375,38.15625,21.46875,30.9375,26.53125,7.5625,14.09375,33.34375,15.84375,12.46875
39.21875,39.3125,21.03125,30.375,26.75,8.0,15.09375,34.0625,14.875,11.28125
38.3125,39.15625,21.34375,30.0,27.15625,8.1875,15.25,33.25,14.8125,12.53125
39.34375,39.1875,21.0625,30.0,27.84375,7.28125,14.53125,33.59375,15.3125,11.84375
38.71875,39.71875,21.09375,29.5,26.75,7.3125,14.625,33.65625,15.59375,13.03125
38.25,39.84375,21.0625,29.84375,26.46875,7.71875,14.875,33.15625,15.625,13.15625
38.09375,38.0625,20.96875,31.625,27.1875,7.53125,14.875,34.125,15.1875,12.34375
39.25,38.96875,19.90625,30.90625,26.875,7.875,14.1875,34.75,15.09375,12.1875
38.5625,38.78125,22.03125,30.4375,25.9375,8.1875,14.9375,33.8125,15.53125,11.78125
38.96875,38.1875,20.96875,30.78125,27.65625,8.125,14.09375,34.0,15.3125,11.90625
39.0,38.5625,21.125,30.875,27.21875,7.625,13.84375,34.0,15.21875,12.53125
38.9375,39.5625,20.8125,30.125,27.125,7.84375,14.21875,34.09375,14.875,12.40625
