ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10
43.0,9.0,24.6875,12.25,24.15625,0.0,27.34375,28.78125,13.59375,42.1875
43.0,9.0,24.96875,13.25,24.03125,0.0,27.0625,27.46875,13.875,42.34375
43.0,9.0,25.375,12.5625,24.0625,0.0,27.25,27.71875,13.5625,42.46875
43.0,9.0,25.3125,12.8125,24.0625,0.0,27.65625,27.75,13.3125,42.09375
43.0,9.0,25.59375,13.0,24.375,0.0,26.90625,27.875,13.8125,41.4375
43.0,9.0,24.53125,12.8125,23.4375,0.0,27.875,28.15625,14.0625,42.125
43.0,9.0,25.34375,13.6875,24.40625,0.0,26.5625,27.6875,13.65625,41.65625
43.0,9.0,25.875,12.96875,24.0625,0.0,27.40625,27.375,13.53125,41.78125
43.0,9.0,25.0,13.8125,24.0625,0.0,26.75,28.5,13.28125,41.59375
43.0,9.0,25.15625,12.34375,23.46875,0.0,28.09375,27.78125,13.90625,42.25
43.0,9.0,25.3125,13.3125,23.625,0.0,26.96875,28.5,14.34375,40.9375
43.0,9.0,25.125,13.28125,23.53125,0.0,27.1875,27.6875,14.25,41.9375
43.0,9.0,24.84375,13.40625,23.84375,0.0,26.65625,28.96875,13.875,41.40625
43.0,9.0,25.875,13.28125,23.6875,0.0,26.03125,27.96875,14.0625,42.09375
43.0,9.0,25.53125,12.65625,24.25,0.0,27.53125,27.625,13.59375,41.8125
43.0,9.0,26.0,12.90625,23.59375,0.0,27.59375,27.46875,13.59375,41.84375
43.0,9.0,24.90625,12.84375,24.75,0.0,27.4375,27.3125,13.4375,42.3125
43.0,9.0,25.46875,13.28125,24.46875,0.0,26.9375,26.5,13.71875,42.625
43.0,9.0,25.1875,13.0,24.75,0.0,27.0625,27.875,13.125,42.0
43.0,9.0,25.625,13.46875,24.625,0.0,27.1875,27.46875,13.59375,41.03125
43.0,9.0,25.78125,13.15625,24.4375,0.0,27.46875,27.15625,13.65625,41.34375
43.0,9.0,26.40625,13.125,24.09375,0.0,26.875,26.9375,14.15625,41.40625
43.0,9.0,24.96875,13.125,24.21875,0.0,27.5625,27.9375,13.46875,41.71875
43.0,9.0,25.4375,13.40625,24.0,0.0,27.375,27.125,13.71875,41.9375
43.0,9.0,24.65625,13.09375,23.3125,0.0,27.9375,27.6875,14.0625,42.25
43.0,9.0,25.59375,12.34375,24.34375,0.0,27.3125,28.03125,13.375,42.0
43.0,9.0,24.5,13.09375,24.375,0.0,27.1875,27.65625,13.34375,42.84375
43.0,9.0,24.625,13.0,23.96875,0.0,27.65625,27.78125,13.5,42.46875
43.0,9.0,24.65625,13.1875,24.0,0.0,27.96875,28.03125,13.34375,41.8125
43.0,9.0,25.0625,13.375,23.53125,0.0,27.28125,28.875,13.65625,41.21875
43.0,9.0,25.59375,12.59375,23.34375,0.0,27.84375,27.5625,13.90625,42.15625
43.0,9.0,24.5625,13.65625,22.9375,0.0,26.46875,28.65625,14.125,42.59375
43.0,9.0,25.6875,13.34375,24.15625,0.0,26.6875,27.25,14.03125,41.84375
43.0,9.0,25.6875,12.65625,24.4375,0.0,27.15625,27.4375,13.53125,42.09375
43.0,9.0,24.90625,13.15625,23.875,0.0,27.1875,27.9375,13.75,42.1875
43.0,9.0,25.9375,12.96875,24.09375,0.0,27.40625,27.25,13.40625,41.9375
43.0,9.0,24.59375,13.28125,23.6875,0.0,27.0625,27.75,13.78125,42.84375
43.0,9.0,24.90625,13.875,24.6875,0.0,27.25,27.65625,13.3125,41.3125
43.0,9.0,25.8125,12.78125,24.15625,0.0,27.25,26.6875,13.6875,42.625
43.0,9.0,25.8125,12.625,23.5,0.0,27.25,27.125,14.0,42.6875
43.0,9.0,25.40625,13.03125,24.75,0.0,27.03125,27.65625,13.1875,41.9375
43.0,9.0,25.1875,12.84375,23.625,0.0,27.0625,27.46875,14.03125,42.78125
43.0,9.0,25.34375,13.40625,23.59375,0.0,27.375,27.59375,13.5625,42.125
43.0,9.0,25.1875,12.875,24.1875,0.0,26.59375,28.3125,13.8125,42.03125
43.0,9.0,24.875,13.75,24.65625,0.0,27.09375,28.25,13.25,41.125
43.0,9.0,25.1875,12.5625,23.28125,0.0,27.15625,28.125,14.34375,42.34375
43.0,9.0,24.5625,13.65625,23.5,0.0,27.9375,26.90625,14.40625,42.03125
43.0,9.0,25.46875,13.4375,23.90625,0.0,27.21875,27.875,13.8125,41.28125
43.0,9.0,24.5625,12.71875,24.0,0.0,27.3125,28.0625,13.78125,42.5625
43.0,9.0,25.6875,13.21875,24.03125,0.0,27.15625,26.6875,14.15625,42.0625
43.0,9.0,24.78125,13.21875,24.0625,0.0,26.9375,27.96875,14.03125,42.0
43.0,9.0,24.6875,13.125,23.90625,0.0,27.84375,27.28125,13.875,42.28125
43.0,9.0,25.15625,12.5,24.53125,0.0,27.03125,28.46875,13.25,42.0625
43.0,9.0,25.375,13.625,23.53125,0.0,26.78125,27.5625,13.84375,42.28125
43.0,9.0,25.09375,13.34375,23.90625,0.0,27.34375,28.53125,13.71875,41.0625
43.0,9.0,25.875,13.1875,23.5,0.0,26.90625,26.71875,14.1875,42.625
43.0,9.0,24.3125,13.5,24.28125,0.0,27.4375,28.59375,13.25,41.625
43.0,9.0,24.9375,13.5625,24.125,0.0,26.9375,27.8125,14.0625,41.5625
43.0,9.0,24.375,13.0,24.25,0.0,27.4375,28.5625,13.71875,41.65625
43.0,9.0,25.65625,13.09375,24.46875,0.0,26.46875,27.40625,13.875,42.03125
43.0,9.0,25.5,12.5625,24.09375,0.0,27.0625,28.25,14.03125,41.5
43.0,9.0,24.84375,12.90625,23.9375,0.0,27.0625,27.96875,13.59375,42.6875
43.0,9.0,25.5625,13.1875,23.40625,0.0,27.53125,27.21875,13.9375,42.15625
43.0,9.0,25.34375,12.78125,24.0,0.0,27.625,27.78125,14.0625,41.40625
43.0,9.0,26.03125,12.59375,24.15625,0.0,27.03125,27.09375,13.40625,42.6875
43.0,9.0,24.75,13.625,24.5625,0.0,27.34375,27.625,13.3125,41.78125
43.0,9.0,24.65625,13.75,24.03125,0.0,26.8125,29.0625,13.40625,41.28125
43.0,9.0,25.71875,13.1875,24.28125,0.0,26.875,27.34375,13.5,42.09375
43.0,9.0,25.125,13.09375,23.84375,0.0,26.9375,27.9375,13.9375,42.125
43.0,9.0,24.40625,13.0,24.15625,0.0,27.5,28.1875,13.5,42.25
43.0,9.0,25.875,12.71875,24.875,0.0,27.4375,26.78125,13.90625,41.40625
43.0,9.0,25.90625,12.78125,24.75,0.0,26.34375,27.75,13.375,42.09375
43.0,9.0,24.90625,13.59375,24.25,0.0,26.9375,27.40625,13.78125,42.125
43.0,9.0,26.125,12.1875,23.78125,0.0,27.40625,27.53125,13.90625,42.0625
43.0,9.0,26.25,12.96875,23.15625,0.0,26.6875,27.6875,14.15625,42.09375
43.0,9.0,25.4375,12.75,23.8125,0.0,27.1875,27.71875,14.125,41.96875
43.0,9.0,25.46875,12.8125,23.6875,0.0,27.53125,27.96875,13.125,42.40625
43.0,9.0,25.71875,13.3125,24.125,0.0,27.0,27.21875,13.6875,41.9375
43.0,9.0,25.3125,12.90625,23.5,0.0,28.125,27.53125,14.03125,41.59375
43.0,9.0,25.8125,12.6875,24.5625,0.0,26.1875,27.4375,13.34375,42.96875
43.0,9.0,24.6875,13.96875,23.34375,0.0,27.5,27.75,13.9375,41.8125
43.0,9.0,27.4375,12.40625,24.4375,0.0,26.46875,26.09375,13.90625,42.25
43.0,9.0,25.65625,12.3125,24.21875,0.0,28.125,26.71875,13.90625,42.0625
43.0,9.0,25.4375,13.34375,23.8125,0.0,26.8125,27.46875,13.875,42.25
43.0,9.0,25.0625,13.34375,25.28125,0.0,27.96875,27.09375,12.65625,41.59375
43.0,9.0,25.71875,12.6875,24.40625,0.0,27.46875,27.0625,13.46875,42.1875
43.0,9.0,26.09375,12.59375,24.1875,0.0,27.59375,26.8125,13.53125,42.1875
43.0,9.0,25.65625,13.3125,24.34375,0.0,26.625,27.71875,13.3125,42.03125
43.0,9.0,25.15625,13.65625,23.875,0.0,26.53125,27.96875,14.15625,41.65625
43.0,9.0,25.0,12.46875,25.0625,0.0,26.84375,28.46875,13.15625,42.0
43.0,9.0,25.46875,13.625,24.71875,0.0,26.65625,27.625,13.3125,41.59375
43.0,9.0,25.8125,13.15625,24.25,0.0,26.78125,27.46875,13.625,41.90625
43.0,9.0,25.5,12.5625,23.9375,0.0,27.0625,27.125,13.59375,43.21875
43.0,9.0,25.71875,13.53125,23.96875,0.0,26.5625,28.09375,13.46875,41.65625
43.0,9.0,24.6875,12.0625,24.28125,0.0,27.3125,28.625,13.40625,42.625
43.0,9.0,24.96875,13.15625,23.53125,0.0,26.875,28.375,14.0625,42.03125
43.0,9.0,25.28125,13.0625,23.59375,0.0,27.6875,27.71875,13.90625,41.75
43.0,9.0,24.34375,13.15625,22.90625,0.0,27.875,27.8125,14.3125,42.59375
43.0,9.0,24.03125,13.375,24.4375,0.0,28.03125,28.09375,13.3125,41.71875
43.0,9.0,25.34375,12.625,23.625,0.0,26.8125,28.34375,13.65625,42.59375
43.0,9.0,24.46875,12.875,24.09375,0.0,27.71875,28.4375,13.6875,41.71875
43.0,9.0,24.84375,13.4375,23.125,0.0,27.28125,26.9375,14.21875,43.15625
43.0,9.0,24.8125,13.59375,23.21875,0.0,27.46875,27.4375,14.09375,42.375
43.0,9.0,25.125,12.15625,24.65625,0.0,27.625,27.625,13.1875,42.625
43.0,9.0,25.96875,12.21875,24.0625,0.0,27.1875,27.84375,14.15625,41.5625
43.0,9.0,25.125,13.25,23.125,0.0,27.28125,26.9375,14.125,43.15625
43.0,9.0,24.8125,13.4375,24.1875,0.0,27.0,27.75,13.9375,41.875
43.0,9.0,25.15625,14.1875,24.6875,0.0,26.21875,27.8125,13.5,41.4375
43.0,9.0,25.4375,13.0,23.875,0.0,27.21875,28.15625,13.625,41.6875
43.0,9.0,25.28125,13.0625,24.28125,0.0,27.0,27.75,14.09375,41.53125
43.0,9.0,26.15625,12.71875,24.21875,0.0,26.90625,27.125,13.71875,42.15625
43.0,9.0,24.6875,13.28125,23.5,0.0,27.5625,27.75,14.03125,42.1875
43.0,9.0,25.78125,13.125,23.5625,0.0,26.84375,27.46875,14.0,42.21875
43.0,9.0,25.0625,13.09375,24.28125,0.0,27.1875,28.53125,13.28125,41.5625
43.0,9.0,25.1875,13.65625,23.90625,0.0,27.65625,27.21875,13.6875,41.6875
43.0,9.0,25.75,12.59375,23.78125,0.0,27.90625,27.21875,13.71875,42.03125
43.0,9.0,25.84375,13.65625,24.03125,0.0,27.03125,26.8125,13.71875,41.90625
43.0,9.0,25.40625,13.46875,24.21875,0.0,27.84375,26.90625,13.34375,41.8125
43.0,9.0,24.6875,13.15625,24.28125,0.0,27.40625,27.84375,13.625,42.0
43.0,9.0,25.78125,12.625,23.9375,0.0,26.90625,27.625,13.78125,42.34375
43.0,9.0,26.125,12.8125,24.0625,0.0,27.40625,26.28125,13.84375,42.46875
43.0,9.0,26.15625,12.5,24.84375,0.0,27.125,27.0,13.0625,42.3125
43.0,9.0,25.46875,13.34375,24.21875,0.0,26.8125,27.5,13.21875,42.4375
43.0,9.0,25.03125,13.0625,22.65625,0.0,28.21875,28.21875,14.5,41.3125
43.0,9.0,26.28125,12.28125,24.375,0.0,27.34375,27.375,13.65625,41.6875
43.0,9.0,25.34375,12.4375,24.0625,0.0,27.15625,28.09375,13.1875,42.71875
43.0,9.0,24.84375,13.59375,23.9375,0.0,26.90625,28.8125,13.59375,41.3125
43.0,9.0,24.75,13.625,24.3125,0.0,27.0,28.15625,13.34375,41.8125
43.0,9.0,25.6875,13.40625,24.71875,0.0,26.4375,28.0625,13.5625,41.125
43.0,9.0,26.1875,13.15625,24.53125,0.0,26.0625,27.6875,13.75,41.625
43.0,9.0,25.28125,12.75,24.0,0.0,27.5625,27.6875,13.96875,41.75
43.0,9.0,24.96875,13.15625,24.0625,0.0,27.3125,28.125,13.4375,41.9375
43.0,9.0,25.40625,12.9375,23.90625,0.0,27.28125,28.09375,13.6875,41.6875
43.0,9.0,25.3125,13.15625,24.65625,0.0,27.5625,27.0,13.21875,42.09375
43.0,9.0,24.84375,12.46875,23.90625,0.0,28.40625,27.59375,13.96875,41.8125
43.0,9.0,25.875,13.5625,24.0625,0.0,25.8125,27.46875,13.8125,42.40625
43.0,9.0,24.09375,13.15625,24.21875,0.0,27.125,28.75,13.3125,42.34375
43.0,9.0,25.09375,14.28125,24.78125,0.0,25.9375,28.71875,13.0625,41.125
43.0,9.0,26.125,13.09375,22.9375,0.0,27.0,27.40625,14.34375,42.09375
43.0,9.0,25.625,13.0,23.65625,0.0,27.15625,27.8125,13.71875,42.03125
43.0,9.0,25.46875,12.84375,24.1875,0.0,26.9375,27.53125,13.59375,42.4375
43.0,9.0,25.4375,12.65625,23.8125,0.0,27.6875,27.65625,13.71875,42.03125
43.0,9.0,25.09375,13.40625,23.625,0.0,27.21875,28.3125,13.90625,41.4375
43.0,9.0,24.90625,13.125,24.5625,0.0,27.34375,27.90625,13.34375,41.8125
43.0,9.0,25.8125,13.15625,24.125,0.0,27.125,27.1875,13.65625,41.9375
43.0,9.0,26.21875,13.71875,24.09375,0.0,26.5625,26.5625,14.125,41.71875
43.0,9.0,25.1875,12.5625,23.6875,0.0,27.84375,28.15625,13.78125,41.78125
43.0,9.0,25.65625,13.53125,23.5,0.0,27.03125,27.8125,13.96875,41.5
43.0,9.0,25.53125,12.5,23.46875,0.0,28.0,27.28125,14.125,42.09375
43.0,9.0,24.84375,12.25,23.875,0.0,27.40625,27.78125,14.15625,42.6875
43.0,9.0,25.65625,12.34375,24.28125,0.0,28.40625,27.5625,13.59375,41.15625
43.0,9.0,25.8125,12.84375,23.78125,0.0,26.59375,27.625,13.8125,42.53125
43.0,9.0,24.75,13.15625,24.1875,0.0,27.46875,27.71875,13.4375,42.28125
43.0,9.0,25.34375,13.25,23.25,0.0,27.25,27.5625,14.25,42.09375
43.0,9.0,25.4375,12.8125,23.375,0.0,27.71875,27.0625,14.09375,42.5
43.0,9.0,24.96875,12.5,23.75,0.0,28.125,27.875,14.15625,41.625
43.0,9.0,25.46875,12.84375,24.46875,0.0,27.1875,27.53125,13.625,41.875
43.0,9.0,25.3125,12.59375,23.71875,0.0,27.46875,28.40625,13.8125,41.6875
43.0,9.0,25.0625,13.65625,24.15625,0.0,27.25,26.6875,13.625,42.5625
43.0,9.0,24.9375,13.75,24.28125,0.0,27.21875,27.5625,13.75,41.5
43.0,9.0,25.40625,13.125,24.40625,0.0,27.09375,27.5625,13.65625,41.75
43.0,9.0,25.96875,13.5625,24.34375,0.0,26.9375,27.0625,13.59375,41.53125
