ma1,ma2,ma3,ma4
28.34375,24.25,28.71875,24.6875
27.40625,25.375,28.53125,24.6875
28.46875,23.96875,28.625,24.9375
27.5625,24.875,28.28125,25.28125
27.71875,24.6875,28.8125,24.78125
29.21875,24.09375,28.34375,24.34375
27.5625,25.25,28.375,24.8125
28.09375,25.0625,28.3125,24.53125
27.4375,24.75,28.09375,25.71875
28.0625,24.28125,28.75,24.90625
28.375,24.125,28.46875,25.03125
28.25,24.5,27.78125,25.46875
27.5,25.3125,28.375,24.8125
28.25,24.1875,28.46875,25.09375
27.9375,24.59375,28.5625,24.90625
27.84375,24.40625,28.125,25.625
27.09375,25.125,28.59375,25.1875
28.4375,24.03125,28.46875,25.0625
28.0,24.59375,28.65625,24.75
28.59375,24.0625,28.40625,24.9375
27.4375,24.6875,28.46875,25.40625
27.96875,24.375,28.5,25.15625
28.59375,23.6875,28.53125,25.1875
28.09375,24.6875,27.875,25.34375
27.46875,24.875,28.0625,25.59375
27.625,24.90625,28.625,24.84375
28.25,24.03125,28.625,25.09375
27.28125,25.34375,28.40625,24.96875
27.8125,25.0,28.5,24.6875
28.53125,24.0625,28.5,24.90625
27.15625,25.46875,27.78125,25.59375
27.90625,25.09375,28.46875,24.53125
28.0625,24.5,28.21875,25.21875
27.75,24.65625,29.125,24.46875
28.15625,24.84375,28.4375,24.5625
27.8125,24.3125,28.90625,24.96875
27.78125,24.71875,28.46875,25.03125
28.1875,24.34375,28.15625,25.3125
27.75,24.53125,28.375,25.34375
28.0625,24.15625,28.59375,25.1875
27.71875,24.84375,28.75,24.6875
28.15625,24.21875,28.90625,24.71875
28.09375,25.21875,28.5,24.1875
27.5,24.8125,28.21875,25.46875
28.34375,23.96875,28.40625,25.28125
27.3125,24.875,28.46875,25.34375
28.15625,24.59375,28.625,24.625
28.375,24.28125,28.59375,24.75
27.6875,25.71875,27.6875,24.90625
27.34375,24.90625,28.4375,25.3125
27.125,24.9375,29.09375,24.84375
28.25,24.3125,28.21875,25.21875
27.84375,24.25,28.78125,25.125
28.28125,24.40625,28.75,24.5625
28.84375,23.90625,28.3125,24.9375
28.875,23.84375,28.84375,24.4375
27.34375,24.9375,28.5,25.21875
28.0625,24.3125,28.65625,24.96875
27.6875,24.59375,28.6875,25.03125
28.15625,24.8125,27.9375,25.09375
28.8125,24.5,28.71875,23.96875
27.6875,24.53125,29.0,24.78125
29.15625,23.6875,28.28125,24.875
28.40625,24.125,29.03125,24.4375
28.25,24.6875,28.125,24.9375
27.90625,24.8125,28.4375,24.84375
28.6875,24.59375,28.375,24.34375
27.71875,24.28125,29.0,25.0
27.75,24.71875,28.34375,25.1875
28.09375,25.03125,28.4375,24.4375
27.78125,25.0,28.34375,24.875
28.53125,23.65625,28.5,25.3125
27.71875,24.90625,28.46875,24.90625
28.9375,23.8125,28.6875,24.5625
27.71875,24.125,28.09375,26.0625
27.96875,24.0,28.46875,25.5625
28.375,24.59375,28.15625,24.875
27.75,24.28125,28.3125,25.65625
27.8125,24.625,28.6875,24.875
28.0625,23.6875,28.71875,25.53125
27.71875,24.40625,28.71875,25.15625
28.125,24.40625,28.375,25.09375
27.5625,24.46875,28.4375,25.53125
27.84375,24.40625,29.28125,24.46875
28.0,24.8125,28.21875,24.96875
27.90625,24.09375,28.375,25.625
27.9375,24.21875,28.4375,25.40625
28.59375,24.125,28.40625,24.875
28.03125,25.0,28.40625,24.5625
27.53125,25.09375,28.5,24.875
28.0625,24.0,29.34375,24.59375
28.0625,24.84375,28.09375,25.0
28.71875,24.15625,28.1875,24.9375
28.0625,24.15625,28.3125,25.46875
28.09375,24.125,28.40625,25.375
28.0625,24.5625,28.40625,24.96875
28.1875,25.0,27.84375,24.96875
28.40625,24.5625,28.09375,24.9375
27.8125,24.9375,28.28125,24.96875
28.34375,24.3125,28.21875,25.125
27.875,24.71875,28.25,25.15625
28.40625,24.625,28.4375,24.53125
27.5,25.0,28.59375,24.90625
28.46875,24.0625,28.3125,25.15625
27.875,24.65625,28.34375,25.125
28.0625,24.65625,28.1875,25.09375
27.65625,24.9375,28.8125,24.59375
28.53125,24.0625,28.28125,25.125
27.96875,24.46875,28.5625,25.0
27.5,25.09375,28.0625,25.34375
28.25,24.1875,28.71875,24.84375
29.3125,24.03125,28.625,24.03125
27.5625,24.78125,28.5,25.15625
28.09375,23.875,28.53125,25.5
27.78125,23.90625,28.3125,26.0
28.53125,24.5625,28.0,24.90625
28.15625,23.8125,28.75,25.28125
28.625,24.625,28.4375,24.3125
28.71875,23.90625,28.75,24.625
28.5,24.28125,28.46875,24.75
28.75,24.6875,28.25,24.3125
28.75,24.25,28.625,24.375
28.1875,24.21875,28.78125,24.8125
27.65625,24.40625,28.625,25.3125
28.34375,23.78125,28.59375,25.28125
27.6875,24.375,28.75,25.1875
28.46875,24.375,28.21875,24.9375
27.46875,24.9375,28.71875,24.875
28.1875,24.21875,28.96875,24.625
27.875,25.0,28.21875,24.90625
28.375,24.4375,28.8125,24.375
27.8125,24.8125,28.5,24.875
28.0,24.25,28.6875,25.0625
27.5625,24.6875,28.46875,25.28125
28.3125,24.09375,28.46875,25.125
28.28125,24.4375,28.71875,24.5625
28.03125,24.125,28.9375,24.90625
28.34375,24.4375,28.4375,24.78125
28.53125,24.46875,28.09375,24.90625
27.625,24.53125,28.21875,25.625
27.75,24.78125,28.375,25.09375
28.28125,24.6875,28.03125,25.0
27.96875,24.6875,28.40625,24.9375
28.96875,23.9375,28.28125,24.8125
28.40625,24.65625,28.96875,23.96875
27.40625,25.0,28.75,24.84375
27.625,24.53125,28.625,25.21875
28.03125,24.75,28.28125,24.9375
28.71875,24.6875,28.03125,24.5625
28.3125,24.625,28.1875,24.875
27.28125,24.84375,28.46875,25.40625
27.9375,24.71875,28.4375,24.90625
27.6875,23.71875,29.5,25.09375
28.21875,24.40625,28.625,24.75
28.25,24.4375,28.34375,24.96875
28.40625,24.125,28.3125,25.15625
28.4375,23.875,28.25,25.4375
28.09375,25.0,28.28125,24.625
27.6875,23.9375,29.125,25.25
27.40625,25.15625,28.3125,25.125
27.8125,25.0,28.0,25.1875
28.625,24.46875,28.65625,24.25
28.125,23.90625,28.71875,25.25
27.875,24.8125,28.53125,24.78125
27.8125,24.71875,28.125,25.34375
28.15625,24.5625,28.78125,24.5
28.21875,24.8125,28.4375,24.53125
28.0,24.25,28.90625,24.84375
29.0,24.25,28.84375,23.90625
27.6875,25.15625,28.46875,24.6875
27.875,24.15625,28.375,25.59375
27.59375,24.65625,28.90625,24.84375
27.875,24.09375,28.875,25.15625
28.40625,24.4375,28.3125,24.84375
28.15625,23.84375,28.96875,25.03125
28.3125,24.15625,28.8125,24.71875
28.15625,24.5,28.8125,24.53125
28.5625,24.34375,28.53125,24.5625
28.125,24.5,28.21875,25.15625
28.53125,24.4375,27.96875,25.0625
27.65625,24.71875,28.75,24.875
28.0625,24.78125,28.84375,24.3125
28.1875,24.78125,28.25,24.78125
28.15625,24.59375,28.53125,24.71875
28.0,24.65625,27.96875,25.375
27.6875,24.6875,28.25,25.375
27.46875,25.4375,27.96875,25.125
27.78125,25.0,27.9375,25.28125
28.875,23.9375,28.4375,24.75
27.78125,25.375,28.65625,24.1875
27.71875,24.40625,29.1875,24.6875
28.59375,23.90625,28.5,25.0
27.28125,25.15625,28.71875,24.84375
27.375,24.75,28.0625,25.8125
28.0,24.96875,27.53125,25.5
27.59375,25.25,28.21875,24.9375
28.4375,24.0,28.15625,25.40625
28.09375,24.5,28.09375,25.3125
29.0,24.5,28.3125,24.1875
27.8125,25.53125,27.78125,24.875
29.21875,23.65625,27.96875,25.15625
27.96875,24.375,28.59375,25.0625
28.21875,24.09375,28.0,25.6875
27.5,25.28125,28.3125,24.90625
27.71875,24.625,28.34375,25.3125
28.53125,24.40625,28.375,24.6875
28.71875,23.8125,28.125,25.34375
28.1875,24.0625,28.375,25.375
27.84375,24.8125,28.5,24.84375
27.59375,24.59375,28.40625,25.40625
27.75,24.71875,28.78125,24.75
27.625,24.90625,28.375,25.09375
27.875,24.25,28.40625,25.46875
27.9375,24.65625,28.375,25.03125
27.96875,24.5625,29.0,24.46875
28.25,24.71875,28.5625,24.46875
27.5625,24.9375,28.1875,25.3125
28.3125,24.78125,27.65625,25.25
28.25,24.84375,28.34375,24.5625
27.84375,24.1875,29.5,24.46875
28.125,25.375,27.84375,24.65625
28.84375,24.03125,28.03125,25.09375
28.21875,24.65625,28.5,24.625
27.78125,24.1875,28.375,25.65625
26.90625,25.65625,28.625,24.8125
27.78125,24.25,28.84375,25.125
27.4375,25.1875,27.84375,25.53125
28.21875,24.65625,28.625,24.5
27.46875,24.65625,28.625,25.25
28.09375,24.0625,28.4375,25.40625
27.75,24.71875,28.1875,25.34375
27.15625,24.71875,28.59375,25.53125
27.78125,24.84375,28.34375,25.03125
28.5625,24.09375,28.65625,24.6875
27.5,24.875,28.0625,25.5625
28.03125,25.0,29.125,23.84375
26.9375,25.25,28.59375,25.21875
28.46875,25.34375,27.96875,24.21875
29.0625,23.625,28.6875,24.625
27.8125,24.59375,28.5,25.09375
28.34375,24.65625,28.4375,24.5625
28.03125,24.15625,28.0625,25.75
28.71875,24.53125,28.46875,24.28125
28.5,24.75,28.71875,24.03125
28.25,24.875,28.40625,24.46875
27.5,24.875,28.8125,24.8125
28.90625,23.90625,28.40625,24.78125
27.375,24.71875,29.34375,24.5625
27.1875,25.1875,28.4375,25.1875
28.5625,24.21875,28.1875,25.03125
28.5,24.0625,28.1875,25.25
28.5625,24.46875,28.46875,24.5
27.71875,25.0,28.09375,25.1875
27.4375,24.8125,28.59375,25.15625
27.8125,24.28125,28.8125,25.09375
28.03125,24.5625,28.53125,24.875
27.5,24.3125,28.40625,25.78125
27.3125,24.78125,28.4375,25.46875
28.25,24.8125,28.0,24.9375
27.96875,24.15625,28.625,25.25
27.125,25.0625,28.40625,25.40625
28.28125,24.9375,28.5,24.28125
27.96875,24.625,28.40625,25.0
28.3125,24.40625,28.65625,24.625
28.46875,24.71875,28.40625,24.40625
28.375,24.25,28.5,24.875
28.0625,24.09375,28.96875,24.875
28.0625,24.65625,28.46875,24.8125
28.21875,24.4375,28.09375,25.25
27.5625,25.125,28.28125,25.03125
28.28125,23.96875,28.71875,25.03125
27.84375,24.5,28.75,24.90625
28.25,24.25,28.53125,24.96875
27.9375,24.78125,28.3125,24.96875
28.46875,24.03125,28.0625,25.4375
27.8125,25.03125,28.75,24.40625
27.90625,24.53125,28.625,24.9375
28.59375,24.15625,28.8125,24.4375
28.09375,24.40625,29.0,24.5
28.25,23.84375,28.8125,25.09375
28.625,24.75,28.46875,24.15625
29.09375,23.875,28.0625,24.96875
28.625,24.3125,28.53125,24.53125
28.28125,24.3125,28.5625,24.84375
27.78125,24.875,28.4375,24.90625
28.125,24.46875,28.53125,24.875
28.09375,24.46875,28.9375,24.5
27.875,24.78125,29.0,24.34375
28.46875,24.71875,28.15625,24.65625
27.5,24.03125,29.125,25.34375
28.1875,24.25,28.25,25.3125
27.375,24.75,28.5,25.375
27.625,24.71875,28.84375,24.8125
29.25,23.90625,28.59375,24.25
28.25,24.625,28.09375,25.03125
28.125,24.9375,27.96875,24.96875
28.71875,23.78125,28.125,25.375
27.34375,25.09375,28.53125,25.03125
27.96875,24.96875,27.84375,25.21875
28.15625,24.34375,28.40625,25.09375
27.84375,25.6875,27.59375,24.875
28.21875,24.375,28.625,24.78125
28.28125,24.34375,28.21875,25.15625
28.46875,24.09375,28.78125,24.65625
27.8125,24.46875,28.875,24.84375
28.53125,24.09375,28.53125,24.84375
28.15625,24.28125,28.25,25.3125
28.28125,24.53125,28.375,24.8125
27.96875,25.0,28.71875,24.3125
29.0,24.0,28.4375,24.5625
28.40625,25.03125,27.9375,24.625
28.40625,24.15625,28.4375,25.0
28.46875,24.5625,27.9375,25.03125
28.03125,24.75,28.3125,24.90625
27.96875,24.84375,28.3125,24.875
27.15625,24.46875,28.78125,25.59375
28.5625,24.5,28.21875,24.71875
28.53125,24.15625,28.9375,24.375
28.34375,24.4375,28.15625,25.0625
27.71875,24.65625,28.28125,25.34375
28.375,24.15625,28.6875,24.78125
27.75,24.84375,28.1875,25.21875
27.90625,23.875,29.28125,24.9375
29.25,23.8125,28.53125,24.40625
28.25,24.5,28.34375,24.90625
28.6875,24.0,28.09375,25.21875
27.96875,24.3125,28.59375,25.125
28.59375,24.4375,27.71875,25.25
28.3125,25.0625,27.9375,24.6875
28.25,24.96875,28.53125,24.25
28.1875,24.65625,28.71875,24.4375
28.0625,24.625,28.59375,24.71875
