ma1,ma2,ma3,ma4,ma5
20.125,15.59375,19.9375,22.5,21.84375
20.15625,15.5625,18.4375,23.28125,22.5625
19.34375,15.625,19.625,22.6875,22.71875
19.4375,16.0,19.46875,22.90625,22.1875
20.3125,14.90625,19.40625,22.34375,23.03125
20.375,15.5,18.8125,22.625,22.6875
19.34375,15.25,18.96875,22.96875,23.46875
19.25,16.0,19.375,22.78125,22.59375
19.09375,15.90625,19.28125,22.71875,23.0
18.75,16.625,19.28125,22.28125,23.0625
19.09375,15.96875,20.03125,22.21875,22.6875
19.28125,15.4375,18.6875,23.6875,22.90625
19.71875,16.375,20.0,22.90625,21.0
19.46875,14.9375,20.21875,23.15625,22.21875
19.71875,16.0625,19.21875,22.53125,22.46875
20.03125,16.03125,18.75,23.0625,22.125
19.15625,16.15625,19.125,22.375,23.1875
19.8125,15.90625,19.65625,22.34375,22.28125
20.21875,14.90625,20.09375,22.375,22.40625
19.03125,15.21875,20.03125,22.53125,23.1875
19.75,16.28125,18.96875,22.71875,22.28125
20.3125,15.40625,19.1875,23.09375,22.0
19.625,16.21875,18.03125,23.28125,22.84375
19.75,16.5625,18.96875,22.28125,22.4375
20.03125,16.78125,18.3125,22.6875,22.1875
20.0,16.0,19.875,22.03125,22.09375
20.3125,15.15625,19.53125,22.90625,22.09375
20.25,15.71875,19.71875,22.78125,21.53125
20.0,15.3125,19.6875,22.8125,22.1875
19.71875,15.375,20.03125,22.15625,22.71875
20.40625,14.90625,19.15625,22.75,22.78125
20.0625,15.8125,18.78125,22.875,22.46875
20.5,16.03125,18.28125,22.6875,22.5
20.15625,15.5,19.21875,22.90625,22.21875
19.90625,15.84375,18.8125,22.59375,22.84375
19.625,16.5,19.71875,22.40625,21.75
20.375,15.875,18.40625,22.90625,22.4375
19.75,16.125,19.09375,22.1875,22.84375
20.28125,16.15625,19.03125,22.5,22.03125
19.53125,16.3125,18.9375,22.34375,22.875
20.40625,14.4375,20.28125,22.625,22.25
19.71875,16.40625,19.3125,22.78125,21.78125
18.78125,16.0,19.34375,23.0,22.875
18.59375,16.40625,19.78125,22.3125,22.90625
19.28125,16.71875,18.3125,22.4375,23.25
19.4375,16.09375,19.3125,23.15625,22.0
19.21875,17.09375,19.5,22.3125,21.875
20.1875,15.625,18.53125,23.46875,22.1875
20.375,16.0625,19.625,21.75,22.1875
19.9375,15.625,18.65625,23.28125,22.5
20.375,15.84375,18.6875,22.84375,22.25
19.9375,15.625,18.8125,22.96875,22.65625
19.6875,16.0,18.53125,22.9375,22.84375
19.28125,16.59375,18.625,23.15625,22.34375
19.21875,15.59375,19.9375,23.21875,22.03125
19.875,16.0,19.03125,22.625,22.46875
20.75,15.4375,19.40625,22.59375,21.8125
19.6875,16.09375,18.53125,23.1875,22.5
19.75,15.75,18.5,23.25,22.75
19.84375,14.75,18.65625,22.90625,23.84375
19.53125,15.9375,19.5,22.34375,22.6875
19.53125,15.78125,19.09375,22.375,23.21875
19.9375,15.78125,18.65625,23.28125,22.34375
19.1875,15.59375,20.375,22.15625,22.6875
20.125,16.0625,18.125,22.71875,22.96875
20.34375,14.625,19.25,22.71875,23.0625
19.375,15.65625,19.1875,23.125,22.65625
19.5625,16.09375,19.15625,22.21875,22.96875
19.6875,15.5625,19.09375,22.65625,23.0
19.5625,16.0,19.1875,22.875,22.375
19.28125,16.375,19.6875,22.21875,22.4375
18.625,16.875,18.90625,22.78125,22.8125
20.09375,15.375,19.625,22.21875,22.6875
20.0,15.75,18.90625,22.84375,22.5
20.28125,16.46875,18.65625,22.5625,22.03125
20.1875,15.75,19.21875,22.375,22.46875
20.375,15.0625,18.03125,23.3125,23.21875
