ma1,ma2,ma3,ma4,ma5,ma6
6.40625,13.84375,9.21875,7.78125,10.28125,10.46875
6.75,13.34375,8.96875,7.90625,10.6875,10.34375
6.46875,13.125,8.6875,7.75,11.4375,10.53125
6.71875,14.125,7.90625,8.0,10.34375,10.90625
6.34375,14.1875,8.03125,8.03125,10.625,10.78125
6.25,14.6875,8.3125,7.71875,10.0625,10.96875
6.1875,13.5625,9.0,8.5,10.90625,9.84375
6.0625,13.65625,9.28125,7.6875,10.5625,10.75
6.75,13.40625,9.0,7.78125,10.65625,10.40625
6.625,14.21875,8.28125,7.75,10.34375,10.78125
6.625,13.09375,9.625,7.78125,10.1875,10.6875
6.71875,14.0625,8.8125,7.96875,9.65625,10.78125
6.78125,13.78125,8.875,7.46875,10.375,10.71875
5.96875,13.8125,8.75,7.90625,10.28125,11.28125
6.0625,14.21875,8.90625,8.15625,9.875,10.78125
6.1875,14.21875,8.6875,8.0625,9.90625,10.9375
6.3125,13.78125,8.84375,8.46875,10.125,10.46875
6.21875,13.625,8.59375,8.25,9.78125,11.53125
6.3125,13.34375,8.5625,7.90625,10.59375,11.28125
6.4375,14.09375,8.90625,7.90625,10.3125,10.34375
6.3125,14.0,9.375,7.5,10.40625,10.40625
5.8125,13.0625,9.59375,8.3125,10.625,10.59375
6.40625,13.375,9.03125,8.03125,9.84375,11.3125
6.125,14.375,8.0625,7.375,10.53125,11.53125
6.96875,13.5,8.96875,7.59375,9.6875,11.28125
6.9375,13.6875,8.0625,8.59375,10.3125,10.40625
7.0,13.5,7.96875,7.71875,10.375,11.4375
5.75,14.03125,9.3125,7.9375,9.6875,11.28125
6.875,13.09375,9.625,7.75,9.65625,11.0
6.4375,13.40625,8.6875,7.875,10.78125,10.8125
7.375,13.28125,7.90625,8.03125,9.78125,11.625
6.4375,13.25,9.5,8.375,9.90625,10.53125
6.3125,14.125,8.6875,8.59375,10.46875,9.8125
6.09375,13.84375,8.0625,8.09375,10.71875,11.1875
6.875,14.25,8.6875,7.65625,10.4375,10.09375
6.96875,12.625,9.96875,7.28125,10.5,10.65625
6.53125,13.84375,8.375,8.0625,9.96875,11.21875
6.34375,14.21875,8.0625,7.5625,10.28125,11.53125
7.0,14.78125,7.53125,7.15625,10.375,11.15625
6.28125,13.375,9.0625,7.59375,10.90625,10.78125
6.28125,14.25,8.5625,7.625,10.90625,10.375
5.90625,13.84375,8.8125,7.8125,10.40625,11.21875
6.9375,14.40625,8.09375,8.25,9.6875,10.625
6.15625,14.21875,8.15625,8.34375,10.78125,10.34375
6.21875,14.0625,9.5625,7.625,9.8125,10.71875
7.0,14.125,8.6875,7.71875,10.0625,10.40625
6.5625,13.71875,8.75,8.0625,10.3125,10.59375
5.4375,14.25,9.09375,8.9375,10.34375,9.9375
5.78125,14.09375,8.71875,8.3125,9.96875,11.125
6.53125,13.6875,9.15625,8.0625,9.8125,10.75
6.03125,14.84375,8.875,7.96875,9.6875,10.59375
6.15625,13.8125,8.84375,8.34375,10.25,10.59375
6.53125,13.125,8.5625,8.1875,10.78125,10.8125
6.90625,13.4375,8.84375,7.34375,10.625,10.84375
6.59375,14.09375,8.5,7.84375,10.03125,10.9375
6.15625,13.8125,8.59375,8.4375,9.90625,11.09375
5.875,13.84375,8.75,8.53125,10.15625,10.84375
6.25,13.4375,8.34375,8.21875,10.59375,11.15625
5.875,13.75,8.84375,8.25,10.71875,10.5625
6.9375,13.875,8.3125,7.65625,10.3125,10.90625
6.625,14.5,8.5,7.3125,10.6875,10.375
6.96875,13.21875,8.75,7.5625,10.34375,11.15625
6.21875,13.71875,8.0625,8.71875,9.875,11.40625
7.21875,13.1875,9.125,7.34375,11.03125,10.09375
6.15625,13.78125,8.65625,8.09375,9.8125,11.5
6.90625,14.09375,7.9375,7.90625,10.1875,10.96875
6.25,14.21875,8.96875,7.84375,10.125,10.59375
6.5,14.28125,8.5,7.5,10.4375,10.78125
6.28125,13.53125,9.0,7.90625,10.5,10.78125
7.125,13.15625,8.5,7.96875,10.75,10.5
6.15625,13.71875,8.84375,7.5625,9.6875,12.03125
6.21875,12.96875,8.875,8.40625,10.9375,10.59375
6.375,13.625,9.09375,7.90625,10.59375,10.40625
7.59375,13.6875,8.375,7.75,9.6875,10.90625
5.78125,13.78125,9.5,7.84375,10.59375,10.5
6.3125,13.5,8.9375,7.625,11.25,10.375
6.625,13.84375,8.5,8.28125,10.34375,10.40625
6.0,14.25,9.25,7.3125,10.5,10.6875
6.625,13.875,8.59375,7.96875,10.8125,10.125
6.1875,14.0,8.5,8.40625,10.0,10.90625
6.46875,14.375,8.21875,8.3125,10.5,10.125
6.65625,13.8125,7.625,8.0625,10.96875,10.875
6.84375,13.25,9.03125,7.40625,10.21875,11.25
6.875,12.9375,8.75,8.53125,10.0625,10.84375
6.6875,13.96875,8.21875,7.8125,11.09375,10.21875
6.6875,14.125,8.28125,8.1875,10.3125,10.40625
6.625,14.40625,8.5625,7.25,9.78125,11.375
6.625,13.75,8.09375,8.4375,10.375,10.71875
6.1875,14.1875,8.625,7.5625,10.1875,11.25
6.625,14.875,7.625,7.75,10.09375,11.03125
6.03125,14.6875,8.5,7.5,10.4375,10.84375
6.53125,14.09375,8.4375,7.75,10.3125,10.875
6.5,13.90625,8.09375,8.125,10.6875,10.6875
5.375,14.21875,9.1875,7.71875,11.5,10.0
6.375,13.84375,9.5625,7.9375,9.71875,10.5625
6.1875,13.125,8.90625,8.21875,10.46875,11.09375
6.4375,13.0625,8.90625,8.125,9.6875,11.78125
6.125,13.9375,9.09375,7.65625,10.375,10.8125
6.4375,13.53125,9.1875,7.8125,9.90625,11.125
