ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10
27.34375,7.90625,9.3125,12.59375,18.15625,5.375,24.96875,8.90625,21.71875,13.71875
27.78125,8.3125,8.46875,13.09375,18.1875,4.9375,25.78125,9.5,20.53125,13.40625
27.15625,8.125,8.9375,13.03125,18.1875,5.59375,25.625,8.6875,21.21875,13.4375
28.71875,7.75,7.9375,12.5,18.28125,5.8125,24.71875,9.03125,21.15625,14.09375
27.75,8.0625,9.875,11.6875,17.1875,5.65625,25.25,9.5,21.75,13.28125
28.03125,8.71875,8.28125,11.6875,17.6875,6.15625,25.4375,8.75,21.53125,13.71875
26.71875,7.8125,7.9375,13.0625,18.0,6.375,24.75,9.28125,21.53125,14.53125
27.65625,7.46875,8.9375,13.84375,17.9375,6.25,24.4375,8.6875,21.15625,13.625
28.1875,8.0,9.1875,12.34375,18.03125,5.75,25.125,8.90625,20.65625,13.8125
27.25,8.5,9.3125,13.5625,17.90625,5.90625,24.28125,10.25,20.5,12.53125
28.75,7.4375,8.375,13.0,17.9375,5.84375,25.28125,8.3125,21.0,14.0625
28.375,7.875,9.75,12.84375,16.625,5.34375,25.0625,8.6875,21.5,13.9375
26.9375,8.03125,8.65625,12.84375,18.0625,5.9375,24.71875,9.78125,21.28125,13.75
27.46875,7.90625,8.875,13.125,17.28125,6.25,25.03125,9.8125,21.6875,12.5625
27.53125,8.375,9.125,13.6875,17.09375,5.8125,24.59375,8.65625,21.59375,13.53125
27.34375,7.5625,8.90625,13.0625,17.625,5.71875,25.5,9.6875,20.625,13.96875
28.34375,7.9375,8.46875,13.0625,17.9375,5.71875,24.84375,8.90625,20.78125,14.0
26.46875,8.53125,8.96875,13.3125,18.3125,6.0625,24.75,9.4375,21.1875,12.96875
27.53125,8.125,7.78125,12.78125,19.0625,5.53125,24.5,9.15625,21.28125,14.25
27.84375,8.0625,9.84375,13.0625,16.5625,6.21875,23.34375,8.53125,22.1875,14.34375
27.15625,8.65625,8.0625,13.40625,17.5,5.0625,25.5625,9.375,21.5625,13.65625
26.9375,8.28125,8.875,12.9375,18.65625,5.4375,25.59375,9.4375,19.5,14.34375
27.5,7.90625,8.9375,12.1875,18.6875,6.40625,24.09375,8.84375,21.0,14.4375
