ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8
19.78125,10.5625,19.28125,21.46875,27.0625,20.8125,15.96875,15.0625
19.4375,11.125,19.09375,21.0,28.8125,20.71875,15.65625,14.15625
19.84375,10.59375,19.0,21.90625,27.40625,21.875,15.8125,13.5625
19.5,10.125,17.75,23.3125,28.1875,21.0625,16.28125,13.78125
19.9375,10.6875,18.84375,22.125,26.59375,21.59375,15.40625,14.8125
19.28125,11.25,19.0,20.75,28.28125,21.5,15.75,14.1875
19.875,11.0,17.96875,22.59375,27.6875,20.5625,15.3125,15.0
19.90625,10.46875,18.53125,21.96875,29.96875,20.625,15.4375,13.09375
19.40625,11.0625,19.09375,21.21875,28.625,21.46875,15.21875,13.90625
20.0625,11.03125,18.125,21.75,27.40625,20.59375,16.0,15.03125
19.1875,10.375,18.65625,21.9375,29.5625,20.8125,15.78125,13.6875
19.25,10.6875,19.0,21.59375,27.4375,21.28125,15.53125,15.21875
19.5625,10.6875,18.8125,21.875,28.40625,21.25,15.5625,13.84375
19.59375,10.5625,18.4375,21.90625,27.84375,21.4375,16.65625,13.5625
19.53125,9.96875,19.5625,21.6875,28.0625,20.40625,15.90625,14.875
19.90625,11.28125,18.875,21.53125,28.4375,19.84375,16.34375,13.78125
19.625,10.375,18.1875,22.15625,28.0,21.1875,16.125,14.34375
18.9375,10.96875,18.90625,20.90625,27.75,21.40625,16.40625,14.71875
20.15625,10.28125,18.5625,22.03125,28.6875,20.28125,15.78125,14.21875
19.53125,10.75,18.625,23.3125,29.21875,18.75,16.125,13.6875
19.375,10.34375,19.0625,22.125,29.0625,21.5,14.40625,14.125
19.5,11.25,17.34375,22.125,28.5625,21.65625,15.5,14.0625
19.6875,10.1875,17.34375,23.28125,28.59375,20.65625,16.15625,14.09375
19.84375,10.65625,18.125,23.78125,27.875,20.65625,15.5,13.5625
19.65625,10.25,19.75,22.375,27.21875,21.25,15.1875,14.3125
19.6875,10.90625,18.09375,21.65625,28.53125,20.84375,15.84375,14.4375
20.125,11.875,18.8125,20.4375,28.40625,21.15625,15.71875,13.46875
18.9375,10.5625,18.90625,21.65625,27.96875,20.90625,15.6875,15.375
19.25,10.34375,17.625,22.46875,29.53125,20.0,15.625,15.15625
19.65625,9.625,19.4375,22.5625,27.28125,21.0625,16.40625,13.96875
19.3125,11.53125,19.09375,21.21875,27.96875,21.40625,14.96875,14.5
19.90625,10.1875,17.40625,21.96875,29.3125,21.8125,15.125,14.28125
19.34375,11.375,17.5625,21.28125,27.78125,21.46875,16.125,15.0625
19.65625,10.71875,18.65625,21.28125,29.03125,20.5,15.6875,14.46875
18.40625,11.4375,18.8125,22.5625,28.53125,20.65625,15.53125,14.0625
19.125,10.9375,18.15625,22.28125,28.0625,20.84375,16.15625,14.4375
20.25,11.0625,18.03125,21.09375,29.03125,21.59375,15.125,13.8125
18.96875,11.0,19.03125,23.0,27.71875,20.78125,15.84375,13.65625
19.03125,10.375,18.96875,22.46875,27.4375,19.8125,16.0,15.90625
19.90625,10.6875,18.59375,21.4375,28.21875,20.3125,16.75,14.09375
20.40625,10.5,19.1875,20.4375,28.40625,21.46875,15.15625,14.4375
