min_makespan,avg_makespan,max_makespan,elapsed,total_errors,total_error,total_error_p,multi_p,seq_p,infeas_rate,multi_rate,seq_rate,amf_infeas,amt_infeas_p,total_errors_fix,total_error_fix,total_error_p_fix,multi_p_fix,seq_p_fix,infeas_rate_fix,multi_rate_fix,seq_rate_fix,amf_infeas_fix,amt_infeas_p_fix,busy_count
137.0,156.375,179.0,14.930131020955741,150,150,4.6875,0.0,4.6875,0.031249999999999993,0.0,0.031249999999999993,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
137.0,157.03125,183.0,15.247071132063866,177,177,5.53125,0.0,5.53125,0.036875,0.0,0.036875,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
134.0,156.0,182.0,14.923610802274197,163,163,5.09375,0.0,5.09375,0.03395833333333333,0.0,0.03395833333333333,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
121.0,156.6875,192.0,14.91228576702997,154,154,4.8125,0.0,4.8125,0.03208333333333333,0.0,0.03208333333333333,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
144.0,158.53125,178.0,14.901419355999678,162,162,5.0625,0.0,5.0625,0.033749999999999995,0.0,0.033749999999999995,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
138.0,154.375,185.0,14.90714579820633,160,160,5.0,0.0,5.0,0.03333333333333333,0.0,0.03333333333333333,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
136.0,159.1875,189.0,14.919617684092373,149,149,4.65625,0.0,4.65625,0.031041666666666665,0.0,0.031041666666666665,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
123.0,157.75,192.0,14.92134291306138,159,159,4.96875,0.0,4.96875,0.03312500000000001,0.0,0.03312500000000001,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
134.0,156.0,175.0,14.926720153074712,172,172,5.375,0.0,5.375,0.035833333333333335,0.0,0.035833333333333335,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
137.0,154.90625,173.0,14.92477159621194,157,157,4.90625,0.0,4.90625,0.03270833333333333,0.0,0.03270833333333333,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
139.0,158.78125,188.0,14.914204824715853,165,165,5.15625,0.0,5.15625,0.034374999999999996,0.0,0.034374999999999996,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
136.0,154.03125,186.0,14.927197911776602,158,158,4.9375,0.0,4.9375,0.03291666666666666,0.0,0.03291666666666666,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
142.0,159.65625,204.0,14.930563529022038,158,158,4.9375,0.0,4.9375,0.03291666666666667,0.0,0.03291666666666667,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
135.0,156.6875,189.0,14.919018495827913,151,151,4.71875,0.0,4.71875,0.031458333333333324,0.0,0.031458333333333324,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
135.0,155.59375,183.0,14.907990089152008,145,145,4.53125,0.0,4.53125,0.030208333333333327,0.0,0.030208333333333327,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
128.0,159.0,191.0,14.914665610063821,151,151,4.71875,0.0,4.71875,0.03145833333333334,0.0,0.03145833333333334,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
138.0,158.21875,190.0,14.915088798850775,174,174,5.4375,0.0,5.4375,0.036250000000000004,0.0,0.036250000000000004,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
124.0,156.625,182.0,14.89673567423597,151,151,4.71875,0.0,4.71875,0.03145833333333334,0.0,0.03145833333333334,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
139.0,160.25,194.0,14.910998647101223,169,169,5.28125,0.0,5.28125,0.035208333333333335,0.0,0.035208333333333335,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
129.0,155.375,191.0,14.906182890757918,154,154,4.8125,0.0,4.8125,0.032083333333333325,0.0,0.032083333333333325,1,3.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
142.0,158.3125,179.0,14.91103762993589,154,154,4.8125,0.0,4.8125,0.032083333333333325,0.0,0.032083333333333325,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
138.0,162.15625,221.0,14.921655843034387,165,165,5.15625,0.0,5.15625,0.034375,0.0,0.034375,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
131.0,156.25,191.0,14.922596142161638,147,147,4.59375,0.0,4.59375,0.03062499999999999,0.0,0.03062499999999999,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
141.0,158.125,183.0,14.927438860759139,155,155,4.84375,0.0,4.84375,0.032291666666666656,0.0,0.032291666666666656,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
137.0,158.375,187.0,14.92001569736749,149,149,4.65625,0.0,4.65625,0.031041666666666662,0.0,0.031041666666666662,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
135.0,157.4375,190.0,14.929584799334407,163,163,5.09375,0.0,5.09375,0.03395833333333333,0.0,0.03395833333333333,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
140.0,162.96875,193.0,14.942988771013916,165,165,5.15625,0.0,5.15625,0.034375,0.0,0.034375,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
133.0,155.3125,187.0,14.902394024655223,175,175,5.46875,0.0,5.46875,0.036458333333333336,0.0,0.036458333333333336,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
134.0,153.46875,185.0,14.913737495895475,168,168,5.25,0.0,5.25,0.034999999999999996,0.0,0.034999999999999996,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
141.0,156.0625,191.0,14.905590425245464,163,163,5.09375,0.0,5.09375,0.03395833333333333,0.0,0.03395833333333333,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
132.0,154.84375,193.0,14.916196237783879,156,156,4.875,0.0,4.875,0.03249999999999999,0.0,0.03249999999999999,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
140.0,154.59375,171.0,14.900486294180155,156,156,4.875,0.0,4.875,0.0325,0.0,0.0325,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
139.0,158.1875,211.0,14.910290908999741,164,164,5.125,0.0,5.125,0.03416666666666667,0.0,0.03416666666666667,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
130.0,151.25,171.0,14.908170853741467,157,157,4.90625,0.0,4.90625,0.03270833333333334,0.0,0.03270833333333334,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
134.0,154.875,190.0,14.911857987754047,162,162,5.0625,0.0,5.0625,0.033749999999999995,0.0,0.033749999999999995,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
135.0,155.5,180.0,14.902988225221634,160,160,5.0,0.0,5.0,0.03333333333333334,0.0,0.03333333333333334,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
139.0,157.84375,185.0,14.905689062085003,159,159,4.96875,0.0,4.96875,0.033125,0.0,0.033125,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
131.0,155.46875,182.0,14.916241173166782,162,162,5.0625,0.0,5.0625,0.03375,0.0,0.03375,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
140.0,154.15625,176.0,14.905299318954349,156,156,4.875,0.0,4.875,0.0325,0.0,0.0325,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
141.0,158.28125,198.0,14.916666259989142,149,149,4.65625,0.0,4.65625,0.031041666666666662,0.0,0.031041666666666662,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
136.0,156.6875,196.0,14.918401656206697,154,154,4.8125,0.0,4.8125,0.032083333333333325,0.0,0.032083333333333325,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
133.0,160.09375,202.0,14.914455220103264,164,164,5.125,0.0,5.125,0.034166666666666665,0.0,0.034166666666666665,1,3.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
122.0,155.53125,183.0,14.928903894964606,167,167,5.21875,0.0,5.21875,0.03479166666666667,0.0,0.03479166666666667,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
140.0,159.5,191.0,14.9258246072568,160,160,5.0,0.0,5.0,0.033333333333333326,0.0,0.033333333333333326,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
132.0,153.59375,176.0,14.926986429840326,164,164,5.125,0.0,5.125,0.03416666666666667,0.0,0.03416666666666667,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
133.0,152.25,175.0,14.914544884581119,150,150,4.6875,0.0,4.6875,0.031249999999999993,0.0,0.031249999999999993,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
134.0,157.59375,182.0,14.918365764897317,159,159,4.96875,0.0,4.96875,0.033125,0.0,0.033125,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
132.0,157.375,195.0,14.924383772071451,149,149,4.65625,0.0,4.65625,0.03104166666666666,0.0,0.03104166666666666,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
126.0,155.90625,196.0,14.918594226706773,161,161,5.03125,0.0,5.03125,0.03354166666666666,0.0,0.03354166666666666,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
134.0,157.84375,180.0,14.924715482164174,146,146,4.5625,0.0,4.5625,0.030416666666666665,0.0,0.030416666666666665,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
133.0,155.75,189.0,14.92326299333945,160,160,5.0,0.0,5.0,0.033333333333333326,0.0,0.033333333333333326,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
129.0,155.3125,182.0,14.927263589110225,161,161,5.03125,0.0,5.03125,0.03354166666666668,0.0,0.03354166666666668,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
136.0,153.53125,170.0,14.911683860700577,142,142,4.4375,0.0,4.4375,0.029583333333333326,0.0,0.029583333333333326,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
145.0,160.34375,193.0,14.908271756954491,171,171,5.34375,0.0,5.34375,0.035625,0.0,0.035625,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
139.0,157.9375,185.0,14.919722777791321,169,169,5.28125,0.0,5.28125,0.03520833333333333,0.0,0.03520833333333333,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
137.0,156.90625,181.0,14.919093806296587,144,144,4.5,0.0,4.5,0.030000000000000002,0.0,0.030000000000000002,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
134.0,156.21875,190.0,14.915801143273711,159,159,4.96875,0.0,4.96875,0.033124999999999995,0.0,0.033124999999999995,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
138.0,158.375,174.0,14.909924179781228,157,157,4.90625,0.0,4.90625,0.032708333333333325,0.0,0.032708333333333325,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
131.0,160.3125,186.0,14.925943506881595,167,167,5.21875,0.0,5.21875,0.03479166666666667,0.0,0.03479166666666667,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
129.0,153.34375,181.0,14.917115083895624,149,149,4.65625,0.0,4.65625,0.031041666666666662,0.0,0.031041666666666662,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
144.0,160.4375,197.0,14.92506598541513,156,156,4.875,0.0,4.875,0.0325,0.0,0.0325,1,3.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
139.0,159.0,197.0,14.93222981505096,155,155,4.84375,0.0,4.84375,0.03229166666666667,0.0,0.03229166666666667,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
133.0,153.90625,174.0,14.923641260247678,162,162,5.0625,0.0,5.0625,0.03375,0.0,0.03375,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
132.0,153.34375,177.0,14.931508685927838,164,164,5.125,0.0,5.125,0.03416666666666667,0.0,0.03416666666666667,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
137.0,161.125,193.0,14.91033153468743,159,159,4.96875,0.0,4.96875,0.033125,0.0,0.033125,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
