ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10,ma11,ma12,ma13,ma14,ma15
22.34375,38.21875,13.375,15.0,27.0,18.84375,26.6875,12.15625,24.78125,35.96875,0.0,0.0,5.625,0.0,0.0
22.15625,38.6875,13.96875,16.0,26.59375,18.84375,26.28125,12.21875,24.65625,35.40625,0.0,0.0,5.1875,0.0,0.0
22.15625,39.15625,14.375,14.65625,25.90625,19.5,26.8125,11.875,25.625,35.03125,0.0,0.0,4.90625,0.0,0.0
23.03125,39.09375,13.3125,14.90625,26.78125,18.71875,26.375,12.21875,24.875,35.125,0.0,0.0,5.5625,0.0,0.0
21.875,39.8125,13.3125,15.59375,26.03125,18.53125,25.90625,11.875,24.65625,37.3125,0.0,0.0,5.09375,0.0,0.0
22.0625,38.8125,13.6875,14.125,27.5625,18.28125,27.3125,13.21875,26.84375,32.96875,0.0,0.0,5.125,0.0,0.0
21.1875,39.71875,12.28125,15.78125,27.59375,18.46875,26.96875,13.0625,26.125,33.40625,0.0,0.0,5.40625,0.0,0.0
23.5625,37.5625,13.6875,16.09375,26.28125,18.46875,25.8125,12.90625,23.90625,36.65625,0.0,0.0,5.0625,0.0,0.0
21.8125,38.96875,13.84375,15.5625,27.875,19.4375,25.40625,12.71875,24.84375,34.65625,0.0,0.0,4.875,0.0,0.0
22.21875,38.34375,14.0,15.5,26.96875,19.0625,26.375,12.40625,23.90625,36.375,0.0,0.0,4.84375,0.0,0.0
22.65625,38.09375,14.0625,15.375,27.5,19.75,25.75,11.8125,24.0,35.71875,0.0,0.0,5.28125,0.0,0.0
21.25,39.3125,13.25,15.3125,27.84375,18.28125,27.4375,12.0625,24.9375,34.71875,0.0,0.0,5.59375,0.0,0.0
21.71875,40.28125,13.9375,14.71875,27.21875,18.78125,26.875,11.21875,24.71875,35.1875,0.0,0.0,5.34375,0.0,0.0
23.0,37.96875,14.6875,15.15625,26.59375,19.1875,25.71875,11.9375,25.28125,35.34375,0.0,0.0,5.125,0.0,0.0
22.71875,38.96875,11.6875,16.0625,26.46875,19.0625,25.78125,11.6875,26.0625,35.75,0.0,0.0,5.75,0.0,0.0
20.75,38.96875,14.1875,16.3125,27.34375,18.5,26.21875,11.375,24.84375,36.0625,0.0,0.0,5.4375,0.0,0.0
22.28125,38.21875,12.84375,16.0625,27.84375,19.28125,26.1875,11.84375,24.875,35.34375,0.0,0.0,5.21875,0.0,0.0
21.6875,39.09375,13.28125,16.125,25.9375,18.53125,27.03125,11.625,25.03125,36.125,0.0,0.0,5.53125,0.0,0.0
21.78125,38.4375,13.78125,15.0,27.46875,19.09375,26.4375,12.0625,25.96875,34.40625,0.0,0.0,5.5625,0.0,0.0
21.375,38.84375,13.6875,16.375,27.0,18.9375,25.4375,12.0625,25.34375,35.59375,0.0,0.0,5.34375,0.0,0.0
22.875,38.84375,12.40625,15.125,27.1875,19.5625,24.46875,12.53125,24.8125,36.53125,0.0,0.0,5.65625,0.0,0.0
21.875,40.21875,13.46875,15.125,26.53125,19.8125,25.84375,12.3125,24.15625,35.25,0.0,0.0,5.40625,0.0,0.0
22.59375,39.5,13.3125,15.09375,26.875,18.71875,26.8125,12.28125,24.09375,35.0,0.0,0.0,5.71875,0.0,0.0
20.71875,39.875,13.75,15.28125,26.9375,17.8125,27.25,12.28125,25.28125,35.53125,0.0,0.0,5.28125,0.0,0.0
22.09375,39.875,13.34375,15.1875,26.75,18.46875,26.1875,11.875,25.65625,35.3125,0.0,0.0,5.25,0.0,0.0
