min_makespan,avg_makespan,max_makespan,elapsed,total_errors,total_error,total_error_p,multi_p,seq_p,infeas_rate,multi_rate,seq_rate,amf_infeas,amt_infeas_p,total_errors_fix,total_error_fix,total_error_p_fix,multi_p_fix,seq_p_fix,infeas_rate_fix,multi_rate_fix,seq_rate_fix,amf_infeas_fix,amt_infeas_p_fix
1320.0,1437.9375,1627.0,0,516,516,16.125,0.0,16.125,0.06718750000000001,0.0,0.06718750000000001,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
1330.0,1444.21875,1600.0,0,516,516,16.125,0.0,16.125,0.06718750000000001,0.0,0.06718750000000001,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
1348.0,1448.4375,1596.0,0,516,516,16.125,0.0,16.125,0.06718750000000001,0.0,0.06718750000000001,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
1331.0,1444.78125,1612.0,0,516,516,16.125,0.0,16.125,0.06718750000000001,0.0,0.06718750000000001,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
1302.0,1443.0625,1624.0,0,516,516,16.125,0.0,16.125,0.06718750000000001,0.0,0.06718750000000001,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
1299.0,1445.0,1602.0,0,516,516,16.125,0.0,16.125,0.06718750000000001,0.0,0.06718750000000001,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
1283.0,1435.71875,1585.0,0,516,516,16.125,0.0,16.125,0.06718750000000001,0.0,0.06718750000000001,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
1333.0,1444.875,1585.0,0,516,516,16.125,0.0,16.125,0.06718750000000001,0.0,0.06718750000000001,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
1324.0,1435.78125,1629.0,0,516,516,16.125,0.0,16.125,0.06718750000000001,0.0,0.06718750000000001,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
1257.0,1436.78125,1643.0,0,516,516,16.125,0.0,16.125,0.06718750000000001,0.0,0.06718750000000001,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
1308.0,1445.5,1584.0,0,516,516,16.125,0.0,16.125,0.06718750000000001,0.0,0.06718750000000001,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
