ma1,ma2,ma3,ma4,ma5,ma6
9.9375,10.8125,11.9375,5.8125,4.3125,12.1875
9.65625,10.09375,11.78125,6.0,4.28125,13.1875
9.625,11.15625,11.71875,5.875,4.125,12.5
9.625,10.5,12.0,6.03125,4.28125,12.5625
9.9375,11.1875,11.84375,5.75,4.21875,12.0625
10.25,10.5625,11.1875,6.09375,4.125,12.78125
10.15625,10.6875,11.71875,6.03125,3.875,12.53125
10.03125,10.65625,12.15625,5.78125,3.90625,12.46875
10.09375,10.625,12.59375,5.625,4.0,12.0625
9.5625,11.375,12.09375,5.40625,4.25,12.3125
10.0625,10.78125,11.46875,6.03125,4.03125,12.625
9.96875,10.625,11.9375,5.8125,4.34375,12.3125
10.03125,10.46875,11.5625,5.59375,4.40625,12.9375
9.96875,10.75,11.625,5.96875,4.25,12.4375
10.5,10.5625,11.5,5.71875,4.375,12.34375
10.0,11.21875,11.90625,5.875,4.03125,11.96875
9.9375,11.625,11.8125,5.3125,3.9375,12.375
9.625,11.5,11.8125,5.59375,4.15625,12.3125
10.0,10.75,11.375,6.28125,4.0625,12.53125
10.3125,10.34375,11.59375,5.875,4.375,12.5
10.09375,11.1875,12.0,5.75,3.9375,12.03125
9.84375,11.1875,11.71875,6.09375,4.09375,12.0625
9.875,11.0625,11.8125,6.03125,4.21875,12.0
9.96875,10.59375,12.46875,5.96875,4.1875,11.8125
9.6875,11.21875,11.6875,5.90625,4.09375,12.40625
10.28125,10.34375,11.28125,5.625,4.34375,13.125
9.8125,10.71875,11.875,6.0625,4.0,12.53125
9.28125,10.53125,12.0,6.40625,4.28125,12.5
9.75,11.1875,11.4375,5.6875,4.34375,12.59375
10.0,10.84375,12.15625,5.9375,4.0,12.0625
9.53125,10.8125,12.03125,6.03125,4.5625,12.03125
9.6875,10.75,11.6875,6.0625,4.3125,12.5
9.8125,10.65625,11.84375,6.125,3.875,12.6875
10.21875,11.03125,12.375,5.5,3.9375,11.9375
9.65625,11.0625,11.78125,5.84375,4.1875,12.46875
9.53125,10.53125,11.90625,5.875,4.34375,12.8125
10.0,11.28125,11.59375,5.46875,4.28125,12.375
9.8125,10.34375,11.65625,6.125,4.28125,12.78125
9.8125,10.9375,12.09375,5.65625,4.09375,12.40625
9.78125,11.3125,11.96875,5.6875,4.0,12.25
10.34375,10.8125,12.125,5.5625,4.1875,11.96875
10.15625,10.46875,11.9375,6.0625,4.03125,12.34375
9.8125,11.0,12.15625,5.71875,4.25,12.0625
10.21875,10.8125,11.71875,6.125,4.21875,11.90625
10.0625,10.59375,11.9375,5.75,4.3125,12.34375
9.875,10.59375,11.53125,6.15625,4.25,12.59375
9.59375,10.4375,11.96875,6.40625,4.34375,12.25
9.46875,10.90625,12.15625,6.0,3.96875,12.5
10.0,11.15625,11.78125,5.75,4.03125,12.28125
9.6875,10.46875,12.03125,6.0,4.25,12.5625
9.8125,10.5625,12.0625,5.9375,4.03125,12.59375
9.625,10.4375,12.3125,5.8125,4.4375,12.375
10.5,9.96875,11.96875,5.90625,4.3125,12.34375
9.46875,11.21875,12.125,5.8125,4.0625,12.3125
9.625,11.375,11.46875,5.8125,4.15625,12.5625
9.8125,11.125,11.71875,5.9375,3.9375,12.46875
9.8125,10.34375,11.875,6.15625,4.25,12.5625
9.875,10.75,11.84375,6.0625,4.28125,12.1875
9.84375,10.5,12.0,6.15625,4.21875,12.28125
9.875,10.375,11.78125,6.21875,4.09375,12.65625
10.3125,10.375,11.9375,5.9375,4.0,12.4375
9.875,10.90625,11.625,5.46875,4.125,13.0
9.84375,10.78125,11.625,5.84375,4.28125,12.625
