ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10,ma11,ma12,ma13,ma14,ma15
22.1875,39.28125,13.3125,15.625,26.15625,18.34375,26.84375,12.65625,24.1875,36.125,0.0,0.0,5.28125,0.0,0.0
22.46875,39.15625,14.5625,15.875,26.90625,18.6875,25.75,11.25,25.0625,34.9375,0.0,0.0,5.34375,0.0,0.0
20.8125,38.8125,12.40625,15.21875,27.28125,19.71875,27.03125,12.3125,26.21875,34.6875,0.0,0.0,5.5,0.0,0.0
22.09375,38.625,12.375,16.0625,26.4375,18.90625,26.21875,11.75,25.375,36.8125,0.0,0.0,5.34375,0.0,0.0
22.3125,38.1875,13.15625,16.5,25.875,18.40625,27.0,12.5625,24.65625,35.8125,0.0,0.0,5.53125,0.0,0.0
21.4375,38.53125,13.8125,15.5,26.78125,20.0625,27.0,11.90625,24.15625,35.65625,0.0,0.0,5.15625,0.0,0.0
21.84375,39.75,12.46875,14.96875,26.96875,19.09375,26.46875,12.125,25.59375,35.78125,0.0,0.0,4.9375,0.0,0.0
23.0625,38.625,12.90625,16.75,26.4375,18.96875,26.8125,11.6875,24.1875,35.59375,0.0,0.0,4.96875,0.0,0.0
22.8125,38.0625,12.78125,15.125,27.6875,18.28125,26.34375,12.90625,24.90625,35.6875,0.0,0.0,5.40625,0.0,0.0
20.96875,39.875,13.9375,14.6875,28.21875,18.875,26.40625,12.0625,24.9375,34.53125,0.0,0.0,5.5,0.0,0.0
22.53125,40.09375,13.25,14.4375,27.53125,19.0625,24.96875,12.3125,24.5625,35.625,0.0,0.0,5.625,0.0,0.0
21.53125,38.875,13.09375,14.375,27.5625,19.3125,26.4375,12.1875,24.96875,36.65625,0.0,0.0,5.0,0.0,0.0
22.625,38.15625,13.40625,14.78125,27.78125,19.28125,25.96875,12.125,24.8125,35.375,0.0,0.0,5.6875,0.0,0.0
21.03125,39.3125,12.75,15.375,27.21875,19.65625,26.5625,12.4375,24.5,35.96875,0.0,0.0,5.1875,0.0,0.0
22.21875,39.5,13.21875,15.78125,26.875,19.78125,26.34375,12.6875,24.0,34.75,0.0,0.0,4.84375,0.0,0.0
22.8125,41.3125,12.78125,14.53125,26.625,17.78125,25.96875,12.34375,25.21875,35.78125,0.0,0.0,4.84375,0.0,0.0
22.875,37.375,12.8125,15.8125,27.125,19.25,25.34375,13.3125,25.90625,34.875,0.0,0.0,5.3125,0.0,0.0
21.21875,38.90625,14.09375,15.28125,27.1875,19.5,25.90625,11.0625,24.84375,36.59375,0.0,0.0,5.40625,0.0,0.0
21.0,39.0625,14.75,14.5625,27.34375,19.5625,26.375,11.40625,25.46875,35.0,0.0,0.0,5.46875,0.0,0.0
22.375,39.28125,13.21875,14.90625,26.96875,18.4375,25.4375,12.0625,25.78125,36.25,0.0,0.0,5.28125,0.0,0.0
22.25,39.03125,13.71875,16.03125,27.75,19.34375,25.5625,12.8125,24.75,33.5,0.0,0.0,5.25,0.0,0.0
21.34375,40.5625,13.5,15.34375,27.1875,18.84375,26.25,12.90625,23.4375,35.71875,0.0,0.0,4.90625,0.0,0.0
22.03125,38.53125,13.84375,17.03125,26.59375,18.5,26.4375,12.25,24.71875,34.5625,0.0,0.0,5.5,0.0,0.0
21.875,39.125,12.84375,14.34375,26.6875,19.34375,27.84375,12.625,24.96875,34.96875,0.0,0.0,5.375,0.0,0.0
22.25,37.96875,13.25,15.65625,26.8125,19.59375,25.53125,12.09375,25.46875,35.65625,0.0,0.0,5.71875,0.0,0.0
20.09375,39.84375,13.25,15.5625,28.0625,19.28125,25.40625,12.5,24.9375,35.84375,0.0,0.0,5.21875,0.0,0.0
21.875,38.8125,13.875,14.90625,26.8125,19.0,26.375,12.75,24.125,36.1875,0.0,0.0,5.28125,0.0,0.0
21.6875,39.34375,13.09375,15.21875,27.0,18.71875,27.90625,12.625,24.1875,35.03125,0.0,0.0,5.1875,0.0,0.0
21.28125,38.46875,13.84375,15.59375,28.84375,19.0625,26.0,12.96875,23.75,34.96875,0.0,0.0,5.21875,0.0,0.0
21.8125,39.4375,12.875,14.65625,27.1875,18.25,26.21875,12.1875,25.65625,36.28125,0.0,0.0,5.4375,0.0,0.0
22.21875,40.09375,13.09375,15.34375,27.5625,19.96875,24.71875,12.5,24.3125,34.90625,0.0,0.0,5.28125,0.0,0.0
22.0,39.625,12.65625,14.375,27.09375,18.15625,26.34375,12.8125,24.8125,36.625,0.0,0.0,5.5,0.0,0.0
22.03125,39.28125,14.28125,15.40625,26.25,18.75,27.0,12.0,24.8125,34.71875,0.0,0.0,5.46875,0.0,0.0
22.0,39.25,13.15625,14.375,27.03125,20.09375,26.6875,12.4375,24.84375,34.8125,0.0,0.0,5.3125,0.0,0.0
22.46875,38.3125,13.96875,15.6875,26.71875,19.46875,25.5625,13.15625,25.625,34.09375,0.0,0.0,4.9375,0.0,0.0
22.1875,39.34375,12.75,15.875,27.4375,18.53125,27.125,11.6875,25.8125,33.71875,0.0,0.0,5.53125,0.0,0.0
21.84375,39.40625,14.09375,15.28125,26.28125,17.4375,26.5,12.8125,25.1875,35.78125,0.0,0.0,5.375,0.0,0.0
21.65625,39.09375,13.96875,15.78125,28.15625,18.75,25.125,11.875,26.5625,33.90625,0.0,0.0,5.125,0.0,0.0
22.40625,38.9375,13.09375,14.3125,27.90625,18.90625,25.71875,11.9375,26.3125,35.1875,0.0,0.0,5.28125,0.0,0.0
22.53125,38.65625,13.5,15.21875,26.0,19.6875,25.75,12.0625,25.28125,35.6875,0.0,0.0,5.625,0.0,0.0
21.09375,39.28125,12.75,15.15625,28.3125,18.46875,26.40625,11.8125,25.0625,36.40625,0.0,0.0,5.25,0.0,0.0
21.9375,39.34375,13.46875,15.4375,26.625,19.9375,25.375,12.1875,25.96875,34.5,0.0,0.0,5.21875,0.0,0.0
20.71875,38.875,13.59375,16.75,27.59375,18.46875,25.6875,12.03125,24.9375,36.375,0.0,0.0,4.96875,0.0,0.0
22.46875,39.71875,12.46875,14.65625,26.96875,18.875,26.21875,12.34375,26.21875,34.34375,0.0,0.0,5.71875,0.0,0.0
20.8125,39.28125,13.0625,14.96875,26.96875,20.28125,26.5625,12.0625,24.625,35.53125,0.0,0.0,5.84375,0.0,0.0
21.875,38.25,13.84375,15.3125,27.75,20.28125,26.15625,12.75,25.375,33.40625,0.0,0.0,5.0,0.0,0.0
21.625,38.125,13.75,15.21875,27.15625,20.03125,27.125,12.46875,25.0625,34.59375,0.0,0.0,4.84375,0.0,0.0
22.8125,38.4375,13.71875,15.53125,26.65625,18.75,26.0625,12.6875,25.6875,34.4375,0.0,0.0,5.21875,0.0,0.0
23.0,37.78125,12.46875,14.9375,27.4375,19.8125,26.09375,12.6875,25.75,34.78125,0.0,0.0,5.25,0.0,0.0
21.40625,38.375,13.875,15.09375,26.78125,19.15625,26.375,12.28125,25.25,36.375,0.0,0.0,5.03125,0.0,0.0
21.46875,39.3125,14.375,16.53125,27.375,18.0625,26.46875,11.46875,23.84375,35.90625,0.0,0.0,5.1875,0.0,0.0
20.84375,38.875,14.59375,14.8125,27.3125,19.03125,26.71875,12.125,25.53125,35.15625,0.0,0.0,5.0,0.0,0.0
21.875,39.59375,13.34375,16.53125,27.09375,18.78125,25.71875,12.46875,24.59375,35.21875,0.0,0.0,4.78125,0.0,0.0
21.6875,40.25,12.5,15.65625,26.6875,19.625,26.25,11.84375,25.0,35.4375,0.0,0.0,5.0625,0.0,0.0
23.0,39.34375,13.53125,14.8125,26.09375,19.3125,25.4375,12.15625,24.6875,36.0625,0.0,0.0,5.5625,0.0,0.0
21.4375,40.25,13.1875,16.34375,26.84375,19.96875,25.34375,11.96875,24.21875,35.625,0.0,0.0,4.8125,0.0,0.0
22.15625,39.90625,13.03125,16.90625,26.34375,19.15625,25.6875,12.375,23.21875,35.9375,0.0,0.0,5.28125,0.0,0.0
21.6875,39.4375,13.09375,15.34375,27.5625,19.3125,26.6875,11.8125,24.9375,34.5,0.0,0.0,5.625,0.0,0.0
21.125,39.5625,13.125,14.5625,27.625,19.3125,26.59375,12.125,25.1875,35.5625,0.0,0.0,5.21875,0.0,0.0
21.0,39.34375,12.9375,15.375,27.59375,18.75,25.90625,12.0625,24.96875,36.84375,0.0,0.0,5.21875,0.0,0.0
21.65625,38.1875,14.09375,16.0,26.625,19.6875,25.6875,11.9375,23.6875,37.0625,0.0,0.0,5.375,0.0,0.0
22.03125,40.28125,13.65625,14.65625,26.84375,19.1875,25.9375,11.375,25.25,35.53125,0.0,0.0,5.25,0.0,0.0
22.46875,39.59375,12.96875,15.0,26.375,18.71875,27.0,12.53125,25.15625,34.59375,0.0,0.0,5.59375,0.0,0.0
21.09375,39.5,13.78125,14.6875,26.96875,20.09375,27.28125,12.21875,24.6875,35.0,0.0,0.0,4.6875,0.0,0.0
20.90625,38.625,13.71875,16.1875,27.6875,18.53125,26.875,11.59375,25.78125,35.375,0.0,0.0,4.71875,0.0,0.0
22.25,38.6875,12.625,14.6875,27.21875,19.375,27.03125,12.6875,24.65625,35.40625,0.0,0.0,5.375,0.0,0.0
21.46875,39.28125,13.5625,15.53125,26.0,19.625,27.4375,12.875,25.03125,34.375,0.0,0.0,4.8125,0.0,0.0
22.0625,38.15625,13.9375,15.21875,28.125,18.9375,26.1875,11.59375,25.53125,34.8125,0.0,0.0,5.4375,0.0,0.0
21.34375,38.375,14.0,16.03125,27.0625,19.84375,26.5,11.46875,24.3125,36.53125,0.0,0.0,4.53125,0.0,0.0
22.53125,38.8125,13.9375,14.90625,27.9375,19.71875,25.46875,12.0,24.8125,34.5,0.0,0.0,5.375,0.0,0.0
22.625,37.78125,13.78125,15.375,27.46875,19.8125,25.09375,11.59375,25.4375,35.71875,0.0,0.0,5.3125,0.0,0.0
22.78125,39.15625,13.875,14.5625,27.09375,19.0625,26.15625,12.90625,25.375,33.71875,0.0,0.0,5.3125,0.0,0.0
22.09375,39.375,12.75,15.46875,26.1875,20.0625,25.78125,12.78125,25.46875,34.9375,0.0,0.0,5.09375,0.0,0.0
21.78125,39.09375,13.21875,16.25,26.78125,18.625,27.46875,12.09375,24.53125,34.53125,0.0,0.0,5.625,0.0,0.0
22.625,39.21875,13.5625,15.625,26.875,18.71875,25.625,12.34375,24.25,35.625,0.0,0.0,5.53125,0.0,0.0
22.5625,39.40625,14.03125,16.6875,26.65625,19.34375,24.8125,12.125,23.90625,35.5625,0.0,0.0,4.90625,0.0,0.0
21.8125,39.4375,13.875,16.0625,27.53125,19.59375,25.4375,11.90625,23.5625,35.53125,0.0,0.0,5.25,0.0,0.0
21.09375,38.3125,13.21875,15.5625,27.15625,18.53125,26.75,12.375,25.96875,35.8125,0.0,0.0,5.21875,0.0,0.0
23.03125,39.4375,14.375,15.09375,27.0,19.03125,25.0,12.1875,24.71875,35.1875,0.0,0.0,4.9375,0.0,0.0
21.71875,39.9375,13.875,15.25,26.4375,18.8125,27.1875,12.90625,24.78125,34.125,0.0,0.0,4.96875,0.0,0.0
21.4375,40.125,13.25,15.375,26.1875,19.46875,25.90625,12.0625,24.3125,36.34375,0.0,0.0,5.53125,0.0,0.0
23.40625,37.96875,12.625,15.46875,26.40625,19.28125,27.03125,12.21875,25.125,35.6875,0.0,0.0,4.78125,0.0,0.0
21.1875,38.875,13.8125,15.25,26.71875,19.1875,26.6875,11.4375,25.625,35.5625,0.0,0.0,5.65625,0.0,0.0
22.6875,39.09375,13.03125,15.0625,27.0625,19.59375,26.09375,12.0,24.59375,34.96875,0.0,0.0,5.8125,0.0,0.0
22.625,39.46875,13.625,15.3125,27.0,18.46875,25.6875,12.65625,23.96875,35.8125,0.0,0.0,5.375,0.0,0.0
21.1875,39.625,13.75,15.53125,27.6875,18.25,26.8125,11.3125,24.78125,35.65625,0.0,0.0,5.40625,0.0,0.0
21.40625,38.71875,13.21875,14.1875,27.8125,19.21875,26.03125,13.78125,24.53125,35.75,0.0,0.0,5.34375,0.0,0.0
21.71875,38.59375,13.40625,15.78125,27.71875,19.3125,26.84375,12.0,24.15625,35.5,0.0,0.0,4.96875,0.0,0.0
22.0625,38.75,13.21875,15.125,26.28125,19.125,26.34375,12.9375,25.25,35.4375,0.0,0.0,5.46875,0.0,0.0
21.5,39.21875,12.5,15.625,27.78125,19.6875,26.4375,12.5625,24.8125,34.84375,0.0,0.0,5.03125,0.0,0.0
21.3125,38.84375,13.5,16.1875,27.125,19.40625,26.375,12.375,25.25,34.1875,0.0,0.0,5.4375,0.0,0.0
21.25,37.78125,13.40625,15.6875,27.09375,19.0,26.15625,11.96875,26.1875,35.8125,0.0,0.0,5.65625,0.0,0.0
21.5625,38.5,12.8125,15.59375,27.0625,18.4375,26.96875,12.53125,25.46875,36.34375,0.0,0.0,4.71875,0.0,0.0
22.09375,38.8125,13.96875,14.6875,26.9375,19.15625,25.96875,11.8125,24.71875,36.625,0.0,0.0,5.21875,0.0,0.0
21.03125,39.40625,14.25,14.96875,26.65625,20.1875,26.6875,11.625,24.625,35.09375,0.0,0.0,5.46875,0.0,0.0
21.03125,39.3125,13.03125,15.46875,27.21875,18.6875,27.1875,12.3125,24.0,36.1875,0.0,0.0,5.5625,0.0,0.0
22.53125,38.53125,12.90625,14.28125,27.5,19.15625,26.09375,11.6875,25.46875,36.625,0.0,0.0,5.21875,0.0,0.0
22.78125,39.71875,13.21875,16.0,25.875,19.15625,25.90625,12.40625,25.375,33.8125,0.0,0.0,5.75,0.0,0.0
21.71875,39.71875,13.09375,16.4375,27.96875,19.46875,25.78125,11.875,24.375,34.53125,0.0,0.0,5.03125,0.0,0.0
22.1875,39.25,13.71875,14.84375,26.3125,17.96875,26.90625,12.96875,24.09375,36.1875,0.0,0.0,5.5625,0.0,0.0
23.875,38.90625,12.21875,15.625,27.21875,18.09375,26.78125,12.25,24.625,35.125,0.0,0.0,5.28125,0.0,0.0
22.875,38.71875,13.25,15.75,27.09375,18.5625,25.40625,12.0625,25.125,36.28125,0.0,0.0,4.875,0.0,0.0
22.5625,38.28125,12.9375,15.15625,27.6875,19.78125,26.28125,12.96875,24.59375,34.59375,0.0,0.0,5.15625,0.0,0.0
21.375,39.53125,13.875,14.875,26.75,19.34375,25.6875,11.375,25.3125,36.5625,0.0,0.0,5.3125,0.0,0.0
20.84375,39.28125,13.65625,16.0,27.21875,19.03125,26.59375,12.0,25.03125,35.21875,0.0,0.0,5.125,0.0,0.0
22.8125,38.40625,14.0,15.59375,26.09375,19.21875,26.1875,12.75,25.0625,35.0625,0.0,0.0,4.8125,0.0,0.0
22.0625,39.8125,13.1875,15.53125,27.3125,18.96875,26.0625,11.5,25.375,34.96875,0.0,0.0,5.21875,0.0,0.0
21.34375,38.75,12.8125,15.09375,27.875,20.0625,26.625,11.8125,25.1875,35.375,0.0,0.0,5.0625,0.0,0.0
22.5,38.9375,13.53125,15.59375,27.75,19.28125,26.1875,11.125,25.40625,34.21875,0.0,0.0,5.46875,0.0,0.0
21.8125,39.3125,14.09375,14.5625,26.9375,18.09375,26.75,12.25,24.375,36.875,0.0,0.0,4.9375,0.0,0.0
22.4375,38.78125,13.71875,15.5,26.25,20.09375,26.34375,12.28125,24.65625,35.0625,0.0,0.0,4.875,0.0,0.0
22.6875,39.09375,12.625,14.90625,26.78125,19.40625,26.375,12.21875,25.5,35.40625,0.0,0.0,5.0,0.0,0.0
21.1875,38.65625,13.28125,15.8125,27.53125,18.96875,26.5,13.09375,24.28125,35.4375,0.0,0.0,5.25,0.0,0.0
21.6875,38.5,13.8125,15.125,26.96875,18.84375,26.5,12.59375,24.4375,36.25,0.0,0.0,5.28125,0.0,0.0
22.09375,38.5,13.0625,16.25,27.90625,19.15625,26.0,11.53125,25.875,34.34375,0.0,0.0,5.28125,0.0,0.0
20.5625,38.9375,13.5625,14.96875,27.46875,19.0625,26.3125,12.0625,25.8125,36.15625,0.0,0.0,5.09375,0.0,0.0
23.34375,37.78125,13.78125,15.0625,26.375,18.8125,27.125,13.09375,24.375,34.75,0.0,0.0,5.5,0.0,0.0
21.625,38.46875,13.75,15.40625,26.6875,19.25,25.78125,12.59375,25.375,35.84375,0.0,0.0,5.21875,0.0,0.0
21.03125,38.84375,13.59375,15.15625,28.03125,19.21875,26.21875,11.78125,24.09375,36.875,0.0,0.0,5.15625,0.0,0.0
21.09375,39.25,13.34375,14.78125,26.90625,19.84375,26.8125,12.3125,26.53125,34.09375,0.0,0.0,5.03125,0.0,0.0
21.125,39.65625,12.5625,15.375,27.125,19.875,26.125,12.03125,25.34375,35.3125,0.0,0.0,5.46875,0.0,0.0
22.15625,39.53125,12.65625,14.46875,27.5,19.625,26.625,12.46875,24.96875,34.40625,0.0,0.0,5.59375,0.0,0.0
19.9375,39.75,13.5625,15.5625,27.5625,19.3125,26.6875,11.5,25.8125,34.65625,0.0,0.0,5.65625,0.0,0.0
23.875,40.46875,13.25,15.53125,24.90625,18.34375,26.46875,12.5625,24.4375,34.875,0.0,0.0,5.28125,0.0,0.0
20.78125,38.6875,12.75,15.78125,27.09375,18.59375,27.0625,12.96875,25.375,35.53125,0.0,0.0,5.375,0.0,0.0
21.46875,38.6875,12.78125,15.0625,27.5,19.40625,26.59375,12.21875,25.71875,35.59375,0.0,0.0,4.96875,0.0,0.0
22.15625,39.1875,12.96875,14.46875,27.71875,19.21875,25.875,12.03125,25.78125,34.75,0.0,0.0,5.84375,0.0,0.0
21.75,39.78125,12.25,14.71875,26.3125,19.5625,27.15625,12.59375,24.59375,36.09375,0.0,0.0,5.1875,0.0,0.0
22.125,39.03125,13.5625,14.65625,27.8125,18.5,26.53125,13.0,25.0,34.75,0.0,0.0,5.03125,0.0,0.0
21.25,39.15625,13.40625,15.71875,26.84375,19.3125,26.0,12.03125,25.28125,35.6875,0.0,0.0,5.3125,0.0,0.0
22.4375,39.125,13.0625,14.03125,27.875,18.40625,26.5625,13.125,23.78125,35.90625,0.0,0.0,5.6875,0.0,0.0
21.4375,37.59375,13.59375,16.65625,26.875,19.8125,26.90625,12.125,25.84375,34.28125,0.0,0.0,4.875,0.0,0.0
23.65625,37.65625,13.75,14.65625,26.21875,18.59375,26.78125,12.6875,24.875,36.1875,0.0,0.0,4.9375,0.0,0.0
20.59375,38.78125,13.15625,15.09375,28.03125,19.71875,27.3125,11.53125,25.3125,35.0625,0.0,0.0,5.40625,0.0,0.0
20.96875,39.8125,13.1875,16.3125,27.4375,18.6875,26.59375,12.09375,24.625,34.90625,0.0,0.0,5.375,0.0,0.0
21.78125,39.96875,13.28125,15.46875,26.96875,19.65625,26.03125,12.1875,24.4375,35.125,0.0,0.0,5.09375,0.0,0.0
21.15625,39.53125,13.03125,15.90625,26.46875,18.875,25.8125,12.15625,25.8125,35.78125,0.0,0.0,5.46875,0.0,0.0
22.0625,40.1875,12.8125,15.28125,25.8125,19.09375,27.4375,12.75,23.78125,35.59375,0.0,0.0,5.1875,0.0,0.0
22.625,37.375,13.375,16.0,25.9375,19.125,26.6875,12.71875,23.75,37.21875,0.0,0.0,5.1875,0.0,0.0
22.1875,39.4375,12.5625,14.75,26.5,19.375,26.25,12.71875,25.03125,35.8125,0.0,0.0,5.375,0.0,0.0
22.15625,37.625,13.5,14.96875,26.46875,19.71875,26.90625,11.96875,25.8125,36.0625,0.0,0.0,4.8125,0.0,0.0
21.625,38.4375,13.71875,15.78125,27.59375,19.0,26.1875,11.75,23.625,36.71875,0.0,0.0,5.5625,0.0,0.0
21.5,39.5,12.6875,15.03125,27.625,18.90625,26.15625,12.53125,25.09375,36.15625,0.0,0.0,4.8125,0.0,0.0
22.46875,38.5625,12.875,15.9375,27.125,19.03125,26.3125,11.71875,25.5625,35.0,0.0,0.0,5.40625,0.0,0.0
21.96875,38.375,13.375,15.375,26.21875,19.78125,26.40625,12.0,25.3125,36.40625,0.0,0.0,4.78125,0.0,0.0
22.65625,38.59375,15.53125,14.8125,26.90625,18.78125,27.21875,11.4375,24.46875,34.4375,0.0,0.0,5.15625,0.0,0.0
22.1875,39.34375,12.71875,14.84375,27.90625,19.21875,26.125,13.0,25.0,34.4375,0.0,0.0,5.21875,0.0,0.0
21.65625,38.34375,14.3125,16.3125,27.1875,19.4375,26.5,11.15625,24.40625,35.71875,0.0,0.0,4.96875,0.0,0.0
21.84375,38.96875,14.46875,15.5625,26.59375,18.84375,25.75,12.3125,25.0,35.46875,0.0,0.0,5.1875,0.0,0.0
21.34375,38.4375,14.15625,15.8125,28.5,19.375,25.0625,11.96875,24.65625,35.71875,0.0,0.0,4.96875,0.0,0.0
20.8125,39.71875,12.53125,15.5,27.53125,19.375,25.90625,12.65625,25.03125,35.5625,0.0,0.0,5.375,0.0,0.0
21.25,38.21875,13.1875,16.09375,26.9375,19.40625,27.46875,11.96875,24.875,35.21875,0.0,0.0,5.375,0.0,0.0
21.15625,40.34375,12.9375,15.84375,26.90625,19.8125,26.65625,11.8125,24.0625,35.25,0.0,0.0,5.21875,0.0,0.0
21.1875,39.75,12.71875,15.6875,26.875,18.875,27.46875,12.34375,25.5,34.375,0.0,0.0,5.21875,0.0,0.0
21.1875,38.84375,13.21875,16.3125,27.1875,19.09375,26.03125,11.96875,25.59375,34.78125,0.0,0.0,5.78125,0.0,0.0
20.65625,39.625,13.5625,15.03125,26.71875,18.25,27.71875,11.96875,25.96875,35.0625,0.0,0.0,5.4375,0.0,0.0
