,lower_95,upper_95
min_makespan,86.0,100.0
avg_makespan,111.59375,120.71015625
max_makespan,133.0,162.52499999999998
elapsed,14.893176511873026,14.942082640086301
total_errors,124.0,161.0
total_error,124.0,161.0
total_error_p,3.875,5.03125
multi_p,0.0,0.0
seq_p,3.875,5.03125
infeas_rate,0.0430555555555555,0.0559027777777777
multi_rate,0.0,0.0
seq_rate,0.0430555555555555,0.0559027777777777
amf_infeas,0.0,1.0
amt_infeas_p,0.0,3.125
total_errors_fix,0.0,0.0
total_error_fix,0.0,0.0
total_error_p_fix,0.0,0.0
multi_p_fix,0.0,0.0
seq_p_fix,0.0,0.0
infeas_rate_fix,0.0,0.0
multi_rate_fix,0.0,0.0
seq_rate_fix,0.0,0.0
amf_infeas_fix,32.0,32.0
amt_infeas_p_fix,100.0,100.0
busy_count,0.0,0.0
