,lower_95,upper_95
min_makespan,112.0,112.0
avg_makespan,116.17109375,119.6875
max_makespan,125.0,140.0
elapsed,0.0,0.0
total_errors,9.0,9.0
total_error,9.0,9.0
total_error_p,0.28125,0.28125
multi_p,0.0,0.0
seq_p,0.28125,0.28125
infeas_rate,0.0051136363636363,0.0051136363636363
multi_rate,0.0,0.0
seq_rate,0.0051136363636363,0.0051136363636363
amf_infeas,31.0,31.0
amt_infeas_p,96.875,96.875
total_errors_fix,0.0,0.0
total_error_fix,0.0,0.0
total_error_p_fix,0.0,0.0
multi_p_fix,0.0,0.0
seq_p_fix,0.0,0.0
infeas_rate_fix,0.0,0.0
multi_rate_fix,0.0,0.0
seq_rate_fix,0.0,0.0
amf_infeas_fix,32.0,32.0
amt_infeas_p_fix,100.0,100.0
