min_makespan,avg_makespan,max_makespan,elapsed,total_errors,total_error,total_error_p,multi_p,seq_p,infeas_rate,multi_rate,seq_rate,amf_infeas,amt_infeas_p,total_errors_fix,total_error_fix,total_error_p_fix,multi_p_fix,seq_p_fix,infeas_rate_fix,multi_rate_fix,seq_rate_fix,amf_infeas_fix,amt_infeas_p_fix
51.0,68.46875,96.0,4.37574392510578,17,17,0.53125,0.0,0.53125,0.00965909090909091,0.0,0.00965909090909091,19,59.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
47.0,67.28125,91.0,4.3529396038502455,22,22,0.6875,0.0,0.6875,0.012500000000000002,0.0,0.012500000000000002,17,53.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
47.0,65.0,80.0,4.294945438858122,22,22,0.6875,0.0,0.6875,0.012500000000000002,0.0,0.012500000000000002,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
59.0,68.0,87.0,4.379663954954594,24,24,0.75,0.0,0.75,0.01363636363636364,0.0,0.01363636363636364,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
53.0,66.0,84.0,4.395705568604171,20,20,0.625,0.0,0.625,0.011363636363636366,0.0,0.011363636363636366,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
58.0,71.03125,85.0,4.371035810559988,16,16,0.5,0.0,0.5,0.009090909090909092,0.0,0.009090909090909092,20,62.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
55.0,68.53125,84.0,4.371690222993493,14,14,0.4375,0.0,0.4375,0.007954545454545455,0.0,0.007954545454545455,22,68.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
48.0,67.5,90.0,4.364008828997612,20,20,0.625,0.0,0.625,0.011363636363636366,0.0,0.011363636363636366,17,53.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
52.0,66.65625,80.0,4.365536328870803,18,18,0.5625,0.0,0.5625,0.010227272727272729,0.0,0.010227272727272729,19,59.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
52.0,67.75,86.0,4.362136677838862,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
49.0,67.96875,94.0,4.382242204155773,22,22,0.6875,0.0,0.6875,0.012500000000000002,0.0,0.012500000000000002,13,40.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
50.0,67.8125,96.0,4.289056370034814,27,27,0.84375,0.0,0.84375,0.015340909090909093,0.0,0.015340909090909093,11,34.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
43.0,65.96875,88.0,4.397393646650016,21,21,0.65625,0.0,0.65625,0.011931818181818184,0.0,0.011931818181818184,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
53.0,65.59375,82.0,4.439261240884662,24,24,0.75,0.0,0.75,0.01363636363636364,0.0,0.01363636363636364,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
54.0,68.3125,91.0,4.388649265747517,25,25,0.78125,0.0,0.78125,0.014204545454545458,0.0,0.014204545454545458,12,37.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
43.0,66.6875,84.0,4.29771323967725,27,27,0.84375,0.0,0.84375,0.015340909090909094,0.0,0.015340909090909094,12,37.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
49.0,67.96875,84.0,4.359333621803671,23,23,0.71875,0.0,0.71875,0.01306818181818182,0.0,0.01306818181818182,12,37.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
49.0,67.59375,88.0,4.40000592591241,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,19,59.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
52.0,67.03125,87.0,4.317251351196319,14,14,0.4375,0.0,0.4375,0.007954545454545455,0.0,0.007954545454545455,20,62.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
54.0,65.53125,92.0,4.3909915229305625,17,17,0.53125,0.0,0.53125,0.00965909090909091,0.0,0.00965909090909091,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
50.0,65.96875,98.0,4.356166074983776,24,24,0.75,0.0,0.75,0.01363636363636364,0.0,0.01363636363636364,11,34.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
48.0,66.25,88.0,4.346812436822802,29,29,0.90625,0.0,0.90625,0.01647727272727273,0.0,0.01647727272727273,12,37.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
54.0,68.71875,89.0,4.300044875126332,26,26,0.8125,0.0,0.8125,0.014772727272727276,0.0,0.014772727272727276,10,31.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
42.0,65.375,91.0,4.427717593964189,24,24,0.75,0.0,0.75,0.01363636363636364,0.0,0.01363636363636364,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
52.0,65.0625,82.0,4.392573148012161,25,25,0.78125,0.0,0.78125,0.014204545454545456,0.0,0.014204545454545456,13,40.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
48.0,67.90625,84.0,4.431615454144776,23,23,0.71875,0.0,0.71875,0.01306818181818182,0.0,0.01306818181818182,11,34.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
55.0,69.40625,93.0,4.346635858062655,17,17,0.53125,0.0,0.53125,0.00965909090909091,0.0,0.00965909090909091,17,53.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
56.0,69.65625,88.0,4.393654330167919,20,20,0.625,0.0,0.625,0.011363636363636366,0.0,0.011363636363636366,13,40.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
48.0,69.4375,92.0,4.3542874357663095,21,21,0.65625,0.0,0.65625,0.011931818181818184,0.0,0.011931818181818184,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
52.0,66.375,90.0,4.387370191980153,22,22,0.6875,0.0,0.6875,0.012500000000000002,0.0,0.012500000000000002,17,53.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
55.0,66.6875,79.0,4.404079229105264,23,23,0.71875,0.0,0.71875,0.01306818181818182,0.0,0.01306818181818182,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
52.0,67.125,82.0,4.384786217939109,20,20,0.625,0.0,0.625,0.011363636363636366,0.0,0.011363636363636366,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
44.0,65.96875,86.0,4.348606843966991,20,20,0.625,0.0,0.625,0.011363636363636366,0.0,0.011363636363636366,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
51.0,67.75,87.0,4.386134186759591,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
58.0,69.53125,99.0,4.360351461917162,13,13,0.40625,0.0,0.40625,0.007386363636363637,0.0,0.007386363636363637,22,68.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
53.0,65.625,87.0,4.409576951060444,21,21,0.65625,0.0,0.65625,0.011931818181818184,0.0,0.011931818181818184,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
55.0,65.75,83.0,4.410598244983703,14,14,0.4375,0.0,0.4375,0.007954545454545455,0.0,0.007954545454545455,21,65.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
52.0,67.71875,94.0,4.378812848124653,14,14,0.4375,0.0,0.4375,0.007954545454545455,0.0,0.007954545454545455,21,65.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
43.0,64.625,79.0,4.291122941300273,22,22,0.6875,0.0,0.6875,0.012500000000000002,0.0,0.012500000000000002,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
54.0,67.59375,83.0,4.399665681179613,16,16,0.5,0.0,0.5,0.009090909090909092,0.0,0.009090909090909092,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
51.0,67.15625,100.0,4.359036001842469,16,16,0.5,0.0,0.5,0.009090909090909092,0.0,0.009090909090909092,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
45.0,67.25,84.0,4.395530988927931,16,16,0.5,0.0,0.5,0.009090909090909092,0.0,0.009090909090909092,19,59.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
55.0,67.3125,83.0,4.357927817851305,26,26,0.8125,0.0,0.8125,0.014772727272727276,0.0,0.014772727272727276,10,31.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
54.0,67.34375,81.0,4.4025306310504675,21,21,0.65625,0.0,0.65625,0.011931818181818184,0.0,0.011931818181818184,17,53.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
52.0,68.15625,90.0,4.364651547279209,23,23,0.71875,0.0,0.71875,0.01306818181818182,0.0,0.01306818181818182,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
44.0,63.6875,76.0,4.4259783127345145,21,21,0.65625,0.0,0.65625,0.011931818181818184,0.0,0.011931818181818184,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
49.0,66.0625,79.0,4.353690841700882,18,18,0.5625,0.0,0.5625,0.010227272727272729,0.0,0.010227272727272729,19,59.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
49.0,66.9375,93.0,4.3530238308012486,14,14,0.4375,0.0,0.4375,0.007954545454545455,0.0,0.007954545454545455,20,62.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
54.0,67.15625,84.0,4.388494657818228,12,12,0.375,0.0,0.375,0.006818181818181819,0.0,0.006818181818181819,22,68.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
53.0,66.8125,77.0,4.2873459733091295,26,26,0.8125,0.0,0.8125,0.014772727272727276,0.0,0.014772727272727276,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
50.0,66.90625,87.0,4.268456203863025,17,17,0.53125,0.0,0.53125,0.00965909090909091,0.0,0.00965909090909091,19,59.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
52.0,68.1875,79.0,4.367211980745196,24,24,0.75,0.0,0.75,0.01363636363636364,0.0,0.01363636363636364,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
55.0,69.28125,88.0,4.390597067773342,14,14,0.4375,0.0,0.4375,0.007954545454545455,0.0,0.007954545454545455,19,59.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
47.0,68.65625,92.0,4.363063594326377,24,24,0.75,0.0,0.75,0.01363636363636364,0.0,0.01363636363636364,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
53.0,65.90625,100.0,4.339495074003935,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
46.0,69.65625,95.0,4.442291535902768,20,20,0.625,0.0,0.625,0.011363636363636366,0.0,0.011363636363636366,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
43.0,66.03125,98.0,4.384825823828578,18,18,0.5625,0.0,0.5625,0.010227272727272729,0.0,0.010227272727272729,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
49.0,65.46875,82.0,4.387921178713441,16,16,0.5,0.0,0.5,0.009090909090909092,0.0,0.009090909090909092,19,59.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
55.0,66.25,82.0,4.371802305802703,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
50.0,67.71875,90.0,4.400904300156981,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,18,56.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
49.0,66.21875,84.0,4.40515517629683,23,23,0.71875,0.0,0.71875,0.01306818181818182,0.0,0.01306818181818182,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
48.0,66.1875,94.0,4.385605541057885,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,16,50.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
51.0,64.625,77.0,4.364127907902002,20,20,0.625,0.0,0.625,0.011363636363636366,0.0,0.011363636363636366,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
48.0,65.125,89.0,4.40936096990481,23,23,0.71875,0.0,0.71875,0.01306818181818182,0.0,0.01306818181818182,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
52.0,65.9375,84.0,4.351952753961086,27,27,0.84375,0.0,0.84375,0.015340909090909094,0.0,0.015340909090909094,13,40.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
49.0,66.84375,89.0,4.266190396156162,16,16,0.5,0.0,0.5,0.009090909090909092,0.0,0.009090909090909092,19,59.375,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
50.0,69.28125,88.0,4.299743223004043,23,23,0.71875,0.0,0.71875,0.01306818181818182,0.0,0.01306818181818182,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
46.0,64.375,77.0,4.254481120035052,20,20,0.625,0.0,0.625,0.011363636363636366,0.0,0.011363636363636366,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0
