ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10,ma11,ma12,ma13,ma14,ma15
21.78125,33.78125,11.75,14.90625,25.90625,17.53125,28.625,12.625,24.625,42.75,0.0,0.0,5.71875,0.0,0.0
21.5625,34.1875,10.9375,15.1875,26.5625,18.1875,27.1875,11.90625,24.46875,43.59375,0.0,0.0,6.21875,0.0,0.0
20.6875,35.34375,11.0,14.34375,25.65625,18.65625,27.9375,12.34375,24.90625,42.6875,0.0,0.0,6.4375,0.0,0.0
21.65625,34.9375,11.40625,14.09375,25.96875,18.4375,27.15625,11.96875,25.375,43.125,0.0,0.0,5.875,0.0,0.0
21.03125,35.28125,11.4375,14.6875,24.5625,18.15625,27.78125,12.6875,23.6875,44.0,0.0,0.0,6.6875,0.0,0.0
21.5625,34.9375,11.46875,15.125,24.78125,17.65625,27.875,12.15625,24.40625,44.09375,0.0,0.0,5.9375,0.0,0.0
21.21875,34.6875,11.75,15.21875,26.03125,17.6875,28.125,12.40625,24.15625,42.90625,0.0,0.0,5.8125,0.0,0.0
21.90625,34.125,10.75,14.84375,25.34375,17.59375,27.46875,12.5625,25.34375,43.875,0.0,0.0,6.1875,0.0,0.0
20.96875,34.96875,11.5625,15.09375,25.5625,18.0,27.25,12.59375,24.875,42.875,0.0,0.0,6.25,0.0,0.0
21.9375,34.3125,11.0,15.46875,24.90625,17.59375,26.59375,13.125,24.6875,44.09375,0.0,0.0,6.28125,0.0,0.0
