ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10,ma11,ma12,ma13,ma14,ma15
22.0625,33.625,10.46875,14.46875,26.0625,18.34375,27.71875,12.40625,25.0,43.5625,0.0,0.0,6.28125,0.0,0.0
22.1875,34.46875,11.71875,15.21875,25.1875,18.9375,27.875,12.625,24.0,41.5625,0.0,0.0,6.21875,0.0,0.0
21.25,34.71875,11.96875,14.65625,25.78125,18.15625,27.34375,13.5625,24.5,42.46875,0.0,0.0,5.59375,0.0,0.0
21.53125,34.71875,11.625,15.40625,24.96875,18.21875,27.375,11.9375,24.53125,43.34375,0.0,0.0,6.34375,0.0,0.0
20.78125,35.78125,11.0,14.625,26.03125,18.46875,27.03125,12.25,24.8125,42.6875,0.0,0.0,6.53125,0.0,0.0
21.875,33.9375,11.4375,14.5625,25.875,19.3125,25.65625,12.6875,25.40625,42.84375,0.0,0.0,6.40625,0.0,0.0
22.96875,34.34375,11.5625,14.28125,25.15625,18.21875,27.0625,13.34375,24.3125,42.375,0.0,0.0,6.375,0.0,0.0
20.71875,35.8125,12.1875,15.0,25.71875,18.96875,26.1875,11.875,24.4375,43.09375,0.0,0.0,6.0,0.0,0.0
22.5,35.3125,10.5,14.8125,25.09375,18.6875,27.0625,12.9375,24.90625,41.90625,0.0,0.0,6.28125,0.0,0.0
21.625,34.84375,10.71875,15.15625,25.25,19.25,27.34375,13.125,24.9375,41.84375,0.0,0.0,5.90625,0.0,0.0
