ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10,ma11,ma12,ma13,ma14,ma15
20.9375,34.46875,11.71875,15.6875,26.25,18.375,26.875,12.625,24.59375,42.5625,0.0,0.0,5.90625,0.0,0.0
21.71875,34.125,10.8125,15.40625,25.09375,18.1875,27.625,13.6875,24.5,42.5625,0.0,0.0,6.28125,0.0,0.0
21.125,34.40625,11.40625,15.0,25.375,16.84375,27.78125,12.59375,25.5625,43.84375,0.0,0.0,6.0625,0.0,0.0
20.9375,33.84375,11.0,15.4375,25.40625,18.9375,27.375,13.3125,24.59375,42.96875,0.0,0.0,6.1875,0.0,0.0
20.5,34.78125,10.78125,15.25,26.1875,18.0625,27.5,12.90625,24.59375,43.1875,0.0,0.0,6.25,0.0,0.0
21.65625,34.59375,11.96875,14.125,26.15625,18.3125,27.0,12.5,23.875,43.75,0.0,0.0,6.0625,0.0,0.0
22.09375,34.65625,10.96875,13.90625,26.4375,18.09375,27.03125,13.0625,24.6875,43.15625,0.0,0.0,5.90625,0.0,0.0
22.03125,34.4375,11.0625,14.84375,24.9375,18.46875,27.625,12.9375,24.5,43.15625,0.0,0.0,6.0,0.0,0.0
20.28125,34.75,11.8125,14.40625,26.03125,17.90625,27.90625,12.53125,25.28125,42.9375,0.0,0.0,6.15625,0.0,0.0
20.90625,35.71875,11.34375,15.5625,25.84375,18.1875,27.5625,11.78125,24.40625,42.5625,0.0,0.0,6.125,0.0,0.0
