min_makespan,avg_makespan,max_makespan,elapsed,total_errors,total_error,total_error_p,multi_p,seq_p,infeas_rate,multi_rate,seq_rate,amf_infeas,amt_infeas_p,total_errors_fix,total_error_fix,total_error_p_fix,multi_p_fix,seq_p_fix,infeas_rate_fix,multi_rate_fix,seq_rate_fix,amf_infeas_fix,amt_infeas_p_fix,busy_count
57.0,65.46875,76.0,32.93759424099699,23,23,0.71875,0.0,0.71875,0.01306818181818182,0.0,0.01306818181818182,13,40.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
57.0,66.0,79.0,32.67672579502687,33,33,1.03125,0.0,1.03125,0.018750000000000003,0.0,0.018750000000000003,8,25.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
55.0,62.875,78.0,32.754602923989296,26,26,0.8125,0.0,0.8125,0.014772727272727274,0.0,0.014772727272727274,15,46.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
57.0,63.25,73.0,32.85393615625799,26,26,0.8125,0.0,0.8125,0.014772727272727276,0.0,0.014772727272727276,14,43.75,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
54.0,64.15625,72.0,32.77713828906417,28,28,0.875,0.0,0.875,0.01590909090909091,0.0,0.01590909090909091,13,40.625,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
59.0,66.8125,80.0,32.80849106609821,11,11,0.34375,0.0,0.34375,0.00625,0.0,0.00625,23,71.875,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
51.0,65.75,78.0,32.84991772426292,19,19,0.59375,0.0,0.59375,0.010795454545454547,0.0,0.010795454545454547,17,53.125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
58.0,66.59375,78.0,32.74885621201247,32,32,1.0,0.0,1.0,0.018181818181818184,0.0,0.018181818181818184,12,37.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
57.0,65.875,79.0,32.81801939802244,34,34,1.0625,0.0,1.0625,0.01931818181818182,0.0,0.01931818181818182,10,31.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
56.0,65.5625,84.0,32.814100390765816,31,31,0.96875,0.0,0.96875,0.017613636363636366,0.0,0.017613636363636366,12,37.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
