ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10,ma11,ma12,ma13,ma14,ma15
20.6875,35.28125,11.875,15.09375,25.59375,18.40625,27.4375,12.84375,24.9375,41.90625,0.0,0.0,5.9375,0.0,0.0
21.4375,35.125,11.59375,14.03125,25.96875,18.53125,27.09375,12.09375,26.0,41.90625,0.0,0.0,6.21875,0.0,0.0
21.03125,34.625,10.96875,14.6875,26.09375,17.96875,27.65625,13.0,25.8125,42.0625,0.0,0.0,6.09375,0.0,0.0
23.125,35.53125,11.125,13.5,25.4375,18.28125,26.84375,12.90625,25.71875,41.6875,0.0,0.0,5.84375,0.0,0.0
21.65625,35.625,11.4375,14.15625,26.125,18.28125,27.125,12.5625,25.46875,41.21875,0.0,0.0,6.34375,0.0,0.0
20.75,34.46875,11.28125,14.875,26.21875,17.78125,28.15625,12.21875,25.84375,41.90625,0.0,0.0,6.5,0.0,0.0
21.375,34.40625,11.8125,14.125,26.53125,19.125,27.15625,13.03125,24.8125,41.625,0.0,0.0,6.0,0.0,0.0
20.75,35.59375,11.5625,14.65625,25.96875,18.53125,27.84375,12.5,24.96875,41.375,0.0,0.0,6.25,0.0,0.0
20.78125,35.625,11.96875,14.25,26.6875,18.5625,26.34375,13.03125,25.90625,40.9375,0.0,0.0,5.90625,0.0,0.0
20.53125,34.46875,12.53125,14.625,26.5,18.125,26.375,12.5625,24.96875,42.96875,0.0,0.0,6.34375,0.0,0.0
