ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10,ma11,ma12,ma13,ma14,ma15
21.21875,35.71875,12.21875,14.53125,24.71875,17.4375,27.9375,12.84375,24.34375,43.125,0.0,0.0,5.90625,0.0,0.0
21.125,35.09375,11.21875,15.15625,25.0,17.4375,27.6875,11.96875,25.84375,43.625,0.0,0.0,5.84375,0.0,0.0
21.75,33.71875,10.90625,15.4375,25.4375,18.25,29.15625,11.9375,24.125,43.03125,0.0,0.0,6.25,0.0,0.0
21.34375,34.3125,11.90625,15.15625,24.875,18.71875,27.375,12.40625,25.40625,42.21875,0.0,0.0,6.28125,0.0,0.0
22.78125,34.78125,11.28125,15.125,26.28125,17.84375,26.0,11.90625,24.96875,43.5,0.0,0.0,5.53125,0.0,0.0
21.25,35.46875,11.53125,14.3125,26.40625,18.5,27.28125,12.25,25.78125,41.0625,0.0,0.0,6.15625,0.0,0.0
21.0625,35.40625,11.03125,14.25,25.46875,18.90625,27.59375,11.53125,25.15625,43.3125,0.0,0.0,6.28125,0.0,0.0
21.0625,35.46875,12.375,14.28125,25.375,18.0625,26.125,12.46875,25.15625,43.375,0.0,0.0,6.25,0.0,0.0
21.625,35.0,11.34375,14.875,25.34375,18.53125,26.21875,12.5,25.28125,42.8125,0.0,0.0,6.46875,0.0,0.0
21.53125,35.375,11.125,15.3125,26.59375,16.75,27.75,11.53125,24.75,43.40625,0.0,0.0,5.875,0.0,0.0
