ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10,ma11,ma12,ma13,ma14,ma15
23.03125,33.28125,10.84375,15.78125,25.90625,18.34375,27.4375,11.8125,25.5625,41.90625,0.0,0.0,6.09375,0.0,0.0
20.09375,34.40625,11.0,14.59375,25.5625,18.3125,29.21875,13.09375,24.71875,42.90625,0.0,0.0,6.09375,0.0,0.0
21.28125,34.40625,11.125,14.71875,24.78125,18.875,27.59375,13.0625,24.21875,43.96875,0.0,0.0,5.96875,0.0,0.0
21.09375,31.96875,10.90625,15.34375,26.15625,17.375,29.03125,12.96875,25.53125,43.53125,0.0,0.0,6.09375,0.0,0.0
20.25,34.21875,11.46875,15.4375,25.78125,17.71875,27.03125,12.84375,24.28125,44.59375,0.0,0.0,6.375,0.0,0.0
20.375,34.75,12.125,15.09375,26.25,17.53125,27.59375,11.375,25.03125,43.875,0.0,0.0,6.0,0.0,0.0
22.625,34.59375,10.875,15.03125,25.34375,18.75,27.34375,12.3125,24.9375,42.0625,0.0,0.0,6.125,0.0,0.0
21.5625,33.3125,11.15625,15.71875,26.0625,18.53125,27.5625,11.65625,24.5625,43.625,0.0,0.0,6.25,0.0,0.0
21.5625,35.0625,10.90625,14.53125,26.46875,18.0,27.09375,12.625,24.4375,43.09375,0.0,0.0,6.21875,0.0,0.0
21.0,34.09375,11.15625,15.4375,25.625,18.1875,28.09375,12.84375,24.65625,42.53125,0.0,0.0,6.375,0.0,0.0
