ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10,ma11,ma12,ma13,ma14,ma15
21.6875,34.65625,11.4375,14.34375,25.5625,19.34375,26.875,12.9375,25.125,42.09375,0.0,0.0,5.9375,0.0,0.0
20.71875,36.125,11.375,14.25,26.3125,18.53125,27.625,12.0,24.21875,42.59375,0.0,0.0,6.25,0.0,0.0
19.6875,35.53125,11.28125,14.1875,26.03125,19.21875,27.1875,12.84375,25.75,41.6875,0.0,0.0,6.59375,0.0,0.0
21.375,34.21875,11.28125,15.40625,26.625,18.5625,26.25,12.34375,26.125,41.71875,0.0,0.0,6.09375,0.0,0.0
21.40625,33.78125,11.21875,15.5625,26.4375,18.65625,27.0625,12.5625,25.59375,41.5,0.0,0.0,6.21875,0.0,0.0
21.1875,35.90625,11.21875,14.28125,25.90625,18.3125,27.875,12.8125,24.78125,41.46875,0.0,0.0,6.25,0.0,0.0
22.375,36.125,11.84375,14.1875,25.09375,19.25,26.28125,12.28125,25.40625,41.0625,0.0,0.0,6.09375,0.0,0.0
20.875,36.21875,12.15625,14.09375,25.8125,18.5625,26.71875,12.3125,25.28125,41.71875,0.0,0.0,6.25,0.0,0.0
21.96875,34.84375,11.5,14.90625,26.46875,18.3125,27.46875,12.46875,24.625,40.90625,0.0,0.0,6.53125,0.0,0.0
21.15625,35.40625,10.9375,15.15625,26.78125,18.46875,27.5625,12.34375,24.6875,41.5625,0.0,0.0,5.9375,0.0,0.0
