ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10,ma11,ma12,ma13,ma14,ma15
21.21875,35.0625,11.8125,15.9375,25.03125,18.34375,27.125,12.34375,23.96875,42.96875,0.0,0.0,6.1875,0.0,0.0
22.3125,34.625,11.40625,15.625,25.0,17.65625,26.40625,12.34375,24.5,44.25,0.0,0.0,5.875,0.0,0.0
21.71875,34.3125,10.75,14.53125,25.53125,18.625,27.59375,12.59375,24.125,43.6875,0.0,0.0,6.53125,0.0,0.0
21.21875,35.1875,10.9375,14.5625,26.46875,17.9375,28.25,11.53125,24.46875,43.21875,0.0,0.0,6.21875,0.0,0.0
22.4375,33.78125,10.75,15.125,25.9375,17.53125,27.625,12.625,25.0,43.125,0.0,0.0,6.0625,0.0,0.0
20.53125,34.90625,11.6875,14.59375,25.375,18.28125,28.34375,12.0,24.9375,43.09375,0.0,0.0,6.25,0.0,0.0
21.78125,34.625,11.78125,15.25,25.46875,16.96875,27.9375,12.75,24.5,42.5,0.0,0.0,6.4375,0.0,0.0
21.46875,34.21875,10.84375,15.4375,25.4375,18.8125,27.75,12.21875,24.46875,43.34375,0.0,0.0,6.0,0.0,0.0
21.5,34.125,11.40625,15.25,24.96875,18.75,27.21875,12.375,24.5625,43.3125,0.0,0.0,6.53125,0.0,0.0
22.03125,34.40625,10.84375,15.34375,26.09375,18.28125,28.1875,12.3125,23.4375,43.28125,0.0,0.0,5.78125,0.0,0.0
