ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10,ma11,ma12,ma13,ma14,ma15
21.90625,36.0,11.4375,15.5,25.4375,19.3125,26.3125,12.625,26.0625,39.28125,0.0,0.0,6.125,0.0,0.0
22.5625,35.34375,11.78125,15.21875,25.34375,19.34375,27.5,11.78125,25.59375,39.46875,0.0,0.0,6.0625,0.0,0.0
21.59375,37.03125,11.4375,13.71875,25.9375,17.96875,27.625,13.09375,24.875,40.5625,0.0,0.0,6.15625,0.0,0.0
21.15625,35.21875,11.75,15.1875,27.21875,18.125,27.4375,11.4375,26.40625,40.03125,0.0,0.0,6.03125,0.0,0.0
21.8125,36.90625,11.875,14.21875,25.3125,18.53125,28.40625,12.28125,24.4375,39.90625,0.0,0.0,6.3125,0.0,0.0
20.84375,37.40625,11.78125,14.21875,25.3125,18.78125,27.03125,12.46875,24.90625,41.28125,0.0,0.0,5.96875,0.0,0.0
21.21875,34.96875,12.21875,14.40625,25.46875,17.90625,28.09375,13.0,26.03125,40.96875,0.0,0.0,5.71875,0.0,0.0
22.09375,36.53125,11.09375,15.59375,25.625,18.28125,26.5625,12.3125,25.40625,40.3125,0.0,0.0,6.1875,0.0,0.0
20.65625,36.375,11.96875,14.09375,25.71875,18.3125,27.6875,11.9375,25.9375,41.125,0.0,0.0,6.1875,0.0,0.0
21.09375,36.6875,11.71875,14.5625,25.5625,17.78125,28.53125,12.4375,24.8125,40.4375,0.0,0.0,6.375,0.0,0.0
