ma1,ma2,ma3,ma4,ma5,ma6
9.40625,9.90625,10.53125,6.1875,5.15625,13.8125
9.65625,9.84375,10.3125,6.09375,5.125,13.96875
9.5,9.78125,10.6875,6.34375,5.125,13.5625
9.6875,9.78125,10.4375,6.15625,4.9375,14.0
9.21875,10.5625,10.46875,5.78125,5.09375,13.875
9.9375,9.96875,10.3125,5.8125,4.96875,14.0
9.875,9.65625,10.375,6.3125,5.15625,13.625
9.71875,9.46875,10.375,6.25,5.0625,14.125
9.84375,9.625,10.0625,6.28125,5.25,13.9375
9.78125,9.75,10.375,5.90625,4.9375,14.25
