min_makespan,avg_makespan,max_makespan,elapsed,total_errors,total_error,total_error_p,multi_p,seq_p,infeas_rate,multi_rate,seq_rate,amf_infeas,amt_infeas_p,total_errors_fix,total_error_fix,total_error_p_fix,multi_p_fix,seq_p_fix,infeas_rate_fix,multi_rate_fix,seq_rate_fix,amf_infeas_fix,amt_infeas_p_fix,busy_count
438.0,515.28125,643.0,114.10657691396773,233,233,7.28125,0.0,7.28125,0.030338541666666677,0.0,0.030338541666666677,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
387.0,503.28125,598.0,113.20833981223404,240,240,7.5,0.0,7.5,0.031249999999999997,0.0,0.031249999999999997,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
416.0,487.21875,591.0,113.36587850097567,206,206,6.4375,0.0,6.4375,0.026822916666666665,0.0,0.026822916666666665,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
433.0,500.25,578.0,113.17096137814224,215,215,6.71875,0.0,6.71875,0.027994791666666668,0.0,0.027994791666666668,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
395.0,496.03125,619.0,115.75739538297057,221,221,6.90625,0.0,6.90625,0.028776041666666675,0.0,0.028776041666666675,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
452.0,515.21875,596.0,171.01387081388384,213,213,6.65625,0.0,6.65625,0.027734375000000002,0.0,0.027734375000000002,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
456.0,521.0625,598.0,146.0761417322792,234,234,7.3125,0.0,7.3125,0.030468750000000003,0.0,0.030468750000000003,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
386.0,501.0,628.0,160.7147846869193,214,214,6.6875,0.0,6.6875,0.027864583333333342,0.0,0.027864583333333342,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
392.0,500.375,597.0,113.44982519978657,215,215,6.71875,0.0,6.71875,0.027994791666666668,0.0,0.027994791666666668,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
419.0,493.9375,617.0,113.36724974121898,230,230,7.1875,0.0,7.1875,0.02994791666666667,0.0,0.02994791666666667,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,100.0,0
