ma1,ma2,ma3,ma4,ma5,ma6
9.84375,9.375,10.8125,6.40625,4.96875,13.59375
9.5625,9.59375,10.65625,6.3125,5.03125,13.84375
9.875,9.71875,10.53125,6.0625,5.09375,13.71875
9.375,10.1875,10.53125,6.09375,5.09375,13.71875
9.8125,9.90625,10.71875,5.8125,4.96875,13.78125
9.8125,9.75,10.53125,6.1875,5.03125,13.6875
9.90625,9.6875,10.75,6.125,4.8125,13.71875
9.875,9.90625,10.15625,6.03125,4.96875,14.0625
9.96875,9.96875,10.4375,6.03125,4.96875,13.625
9.71875,9.875,10.53125,6.09375,5.15625,13.625
