epoch,step,train/loss,train/reward,val/reward
80,6749,68.73735046386719,-62.75,
80,6799,-52.807647705078125,-65.375,
80,6803,,,-63.54999923706055
81,6849,13.487525939941406,-62.833335876464844,
81,6887,,,-63.40399932861328
82,6899,-53.78823471069336,-63.458335876464844,
82,6949,-10.380950927734375,-64.16667175292969,
82,6971,,,-63.4640007019043
83,6999,31.0188045501709,-64.79167175292969,
83,7049,-24.133663177490234,-65.70833587646484,
83,7055,,,-63.44300079345703
84,7099,-16.20588493347168,-64.45833587646484,
84,7139,,,-63.60499954223633
85,7149,17.423351287841797,-62.125,
85,7199,-104.87596130371094,-63.875,
85,7223,,,-63.564998626708984
86,7249,-13.624982833862305,-62.91666793823242,
86,7299,-44.52684783935547,-61.125,
86,7307,,,-63.51599884033203
87,7349,-50.14434814453125,-61.79166793823242,
87,7391,,,-63.30699920654297
88,7399,-22.68994903564453,-60.833335876464844,
88,7449,-30.842906951904297,-65.04167175292969,
88,7475,,,-63.597999572753906
89,7499,-72.93898010253906,-64.83333587646484,
89,7549,-8.554317474365234,-62.66666793823242,
89,7559,,,-63.47600173950195
90,7599,-32.12733459472656,-64.125,
90,7643,,,-63.2869987487793
91,7649,-25.46725845336914,-63.375,
91,7699,-52.45703125,-63.5,
91,7727,,,-63.428001403808594
92,7749,-98.4626693725586,-63.208335876464844,
92,7799,-28.06551170349121,-64.45833587646484,
92,7811,,,-63.49800109863281
93,7849,-43.57157516479492,-62.29166793823242,
93,7895,,,-63.444000244140625
94,7899,2.0155715942382812,-62.875,
94,7949,10.723681449890137,-61.375,
94,7979,,,-63.926998138427734
95,7999,24.790075302124023,-61.333335876464844,
95,8049,-29.579116821289062,-63.54166793823242,
95,8063,,,-63.180999755859375
96,8099,0.6077398061752319,-63.083335876464844,
96,8147,,,-63.36000061035156
97,8149,75.76139831542969,-62.625,
97,8199,20.307281494140625,-62.0,
97,8231,,,-63.534000396728516
98,8249,49.37792205810547,-62.458335876464844,
98,8299,16.561681747436523,-63.208335876464844,
98,8315,,,-63.33599853515625
99,8349,-71.67363739013672,-63.208335876464844,
99,8399,-60.4342155456543,-64.875,
99,8399,,,-63.4119987487793
